seq,exp,valence,arousal,dominance,liking,familiarity,participantID
6,40,6.5,7.6,4.2,5.6,1,04-9U66
7,22,5.5,2.6,6.3,6,1,04-9U66
8,19,8.2,7.5,3.2,6.5,3,04-9U66
9,25,2.6,1.7,4.2,4.1,1,04-9U66
10,1,7.8,7.3,5.3,7.1,4,04-9U66
11,3,8.3,8.2,2,8.4,3,04-9U66
12,4,8.5,6.8,4.6,7.6,2,04-9U66
13,18,8.6,3.4,4.1,7.8,2,04-9U66
14,14,8.5,4.3,2.5,8.5,4,04-9U66
15,11,9,8.7,1.5,9,1,04-9U66
16,28,2.3,3.6,3.7,6.6,1,04-9U66
17,5,8.3,8.8,3.4,8.6,4,04-9U66
18,31,3.7,7.6,3.1,2.2,1,04-9U66
19,9,8.8,7.4,3.1,8.5,3,04-9U66
20,10,6.3,8.6,3.7,7.9,2,04-9U66
21,32,1.8,8.2,1.4,1.4,1,04-9U66
22,15,7.4,1.7,6.1,5.3,1,04-9U66
23,27,6.5,3.6,7,5.7,1,04-9U66
24,29,3.9,4.1,6,4,1,04-9U66
25,34,1.9,5.4,3.3,2,1,04-9U66
26,33,3.5,6.3,6,4.1,1,04-9U66
27,6,8.9,8.2,2.1,8.6,4,04-9U66
28,8,8.5,6.6,3.3,8,3,04-9U66
29,20,8.6,8.4,1.9,6.8,4,04-9U66
30,37,1.2,8.7,1.2,1,1,04-9U66
31,26,6.4,3.1,4.4,6.4,1,04-9U66
32,39,2.4,7.4,2.3,1.9,1,04-9U66
33,36,3.6,5.7,5.3,2.8,1,04-9U66
34,21,2.5,3.5,7,3.2,1,04-9U66
35,24,3.8,4.4,3.2,7.1,2,04-9U66
36,13,7.6,1.9,2.4,7.3,1,04-9U66
37,38,1.4,7.2,1.8,1.3,1,04-9U66
38,7,6.5,7.9,4.3,7.6,3,04-9U66
1,27,5.3,5.2,8.9,6.9,1,05-9U8B
2,5,8,7,4.7,8.1,1,05-9U8B
3,22,6.9,5.3,5.7,8.2,1,05-9U8B
4,11,6.9,5.3,7.7,5.2,1,05-9U8B
5,6,6.1,6,7.8,7.7,1,05-9U8B
6,7,4.1,5.7,8.3,5,1,05-9U8B
7,19,7,5.4,8,6.8,1,05-9U8B
8,24,4.1,6.8,7.2,8.3,1,05-9U8B
9,26,4.8,4,8.2,4.3,1,05-9U8B
10,2,5,5.9,7.6,5.8,1,05-9U8B
11,28,4.4,5,8.5,7.3,1,05-9U8B
12,15,6.7,3,8.3,7.9,1,05-9U8B
13,9,7,6.9,7.2,8,1,05-9U8B
14,4,6,3.7,8.1,5.5,1,05-9U8B
15,20,7.2,6,7.3,8.7,3,05-9U8B
16,21,3.4,4.2,8.3,2.3,1,05-9U8B
17,12,7.6,5.9,7.3,8.7,1,05-9U8B
18,14,7.8,5.7,6.9,8.4,1,05-9U8B
19,13,5.8,3,8.7,5.3,1,05-9U8B
20,40,3.2,5.7,8,3.5,1,05-9U8B
21,8,5,6,8.2,7.3,1,05-9U8B
22,29,4.2,5,8.6,6.5,1,05-9U8B
23,23,3.3,3.2,8.7,5,2,05-9U8B
24,30,3,6.3,7.6,8.3,2,05-9U8B
25,34,5.7,7.5,6.9,7.4,1,05-9U8B
26,37,2.3,6.5,6.5,8.5,1,05-9U8B
27,25,5,4.5,8.4,3,1,05-9U8B
28,33,4,4.1,8.7,5.7,1,05-9U8B
29,38,2.1,5.4,7.6,6,1,05-9U8B
30,1,7.6,5.5,8.3,8.6,1,05-9U8B
31,39,2,6.3,7.6,7.1,1,05-9U8B
32,31,4.6,5,8.3,5.3,1,05-9U8B
33,17,5,4,8.8,3.4,1,05-9U8B
34,36,3.8,4,8.8,5.9,1,05-9U8B
35,10,4.2,6,8.3,6.5,1,05-9U8B
36,32,3.6,4.2,8.5,6.9,1,05-9U8B
37,18,6.9,5.6,7.5,7.8,1,05-9U8B
38,3,7.8,6.5,7.4,8.8,2,05-9U8B
1,6,3.4,6.7,4.1,2.6,1,06-9UA7
2,27,4.1,4,3.8,3.2,1,06-9UA7
3,9,7.5,5.6,3.7,6.9,3,06-9UA7
4,30,1.5,3,3.7,5.4,5,06-9UA7
5,20,7.4,5.3,4.2,7.9,5,06-9UA7
6,34,3.2,7,4.1,1,1,06-9UA7
7,7,2.4,3,3.5,1,3,06-9UA7
8,24,3.1,3,3.6,7.5,5,06-9UA7
9,5,6.9,4.6,3.1,7.3,4,06-9UA7
10,15,5,3.2,3.6,3.6,1,06-9UA7
11,13,5.4,3.1,3.6,5.8,1,06-9UA7
12,37,1.1,9,1.6,1,1,06-9UA7
13,33,4,5,2.8,1.2,1,06-9UA7
14,36,4.2,5.4,2.7,1.1,1,06-9UA7
15,38,3.8,5.5,3.4,1,1,06-9UA7
16,40,3.7,5.6,2.8,1.1,1,06-9UA7
17,39,3.1,6.2,3.4,1.1,1,06-9UA7
18,19,5.3,5.2,3.6,7.3,3,06-9UA7
19,18,6.4,4.4,3.2,7.3,4,06-9UA7
20,8,6.5,4.4,3.2,8.8,4,06-9UA7
21,10,4.5,5.5,3,1,1,06-9UA7
22,32,3.2,5.7,3.1,1,1,06-9UA7
23,23,3.8,4.3,3,1.9,1,06-9UA7
24,21,4.1,4.1,2.7,5.3,1,06-9UA7
25,14,6.2,5.5,3.4,9,5,06-9UA7
26,12,6.6,4.6,3.5,6.8,1,06-9UA7
27,29,4.6,5.3,3.7,9,5,06-9UA7
28,22,5,4,3.2,6,1,06-9UA7
29,25,4.8,3.7,2.9,8.9,5,06-9UA7
30,1,6.9,3.6,2.6,6.8,5,06-9UA7
31,2,5.1,4.1,3.3,5.8,1,06-9UA7
32,3,7.1,5,3.2,8.6,5,06-9UA7
33,28,5,2.9,3.1,7.6,4,06-9UA7
34,17,5,2.4,2.5,2.2,1,06-9UA7
35,11,5.8,3.1,2.8,7.8,2,06-9UA7
36,26,5,1.7,3,3,1,06-9UA7
37,31,3.1,2.6,3.8,1,1,06-9UA7
38,4,6.5,4,4,8.8,4,06-9UA7
1,22,3.2,3.2,6.6,5,1,07-9UAD
2,15,5,5,5.7,3,1,07-9UAD
3,23,4.5,2.9,7.2,7.2,1,07-9UAD
4,5,7.3,3,7.7,9,3,07-9UAD
5,26,5,5,5.9,2.5,1,07-9UAD
6,1,4,5,6.2,2.8,1,07-9UAD
7,29,6.4,4.6,6.1,7.1,2,07-9UAD
8,31,4.6,3.2,6.5,5,1,07-9UAD
9,37,4.4,3.8,5.3,5,1,07-9UAD
10,4,4.4,3.6,6,3.4,1,07-9UAD
11,25,3.7,4.7,5.5,3.1,1,07-9UAD
12,7,7.2,5.7,5.3,9,5,07-9UAD
13,27,5,4.8,5.7,2.7,1,07-9UAD
14,12,6.1,4.1,5.9,7,1,07-9UAD
15,30,5,4.1,5.7,3.6,1,07-9UAD
16,8,6.1,3.9,6.2,7,4,07-9UAD
17,9,6.9,3.8,6.8,9,5,07-9UAD
18,28,5,2.3,5.8,4.9,1,07-9UAD
19,24,5,4.4,6,3.4,1,07-9UAD
20,13,5,3.1,6.3,3.4,1,07-9UAD
21,10,6.6,4.5,6.1,7.7,2,07-9UAD
22,6,6.8,4.9,4.8,9,3,07-9UAD
23,36,6.5,4.4,5.5,7.1,2,07-9UAD
24,38,6.2,4.8,5.1,6.5,1,07-9UAD
25,40,6.1,5,5.3,6.9,1,07-9UAD
26,32,6.3,3.8,5,6.5,2,07-9UAD
27,33,5.1,3.6,6,3.6,1,07-9UAD
28,11,6.4,4.4,5.7,6.9,2,07-9UAD
29,39,5.8,4.7,5.3,5,1,07-9UAD
30,17,5,4.8,5,4.2,1,07-9UAD
