seq,exp,valence,arousal,dominance,liking,familiarity,participantID
10,3,9,6.6,4.2,9,5,15-9UR2
11,40,6.3,4.2,5.6,5.4,3,15-9UR2
12,25,4.3,4.1,5.7,4,1,15-9UR2
13,5,7.5,5.4,4.4,8.3,5,15-9UR2
14,2,4.2,6.6,3.9,3,2,15-9UR2
15,6,5.3,6.5,4.3,3.3,2,15-9UR2
16,26,5.8,4,6.2,5.8,1,15-9UR2
17,14,6.5,4.5,5.7,6.8,4,15-9UR2
18,34,3.5,7.1,3.6,2.4,1,15-9UR2
19,17,5.5,5.4,5.4,5.7,1,15-9UR2
20,7,4,6.4,3.6,1,5,15-9UR2
21,37,1,7.8,2.5,1,1,15-9UR2
22,13,8.1,6,6.1,8.2,1,15-9UR2
23,32,4.6,6.2,4.3,3.9,2,15-9UR2
24,8,7.9,6.9,3.2,7.8,5,15-9UR2
25,24,2,6.1,2.8,8.5,5,15-9UR2
26,29,1.5,6.8,3.3,9,5,15-9UR2
27,11,8.5,6.2,3.8,8.3,1,15-9UR2
28,36,4,6.6,3.7,5.7,2,15-9UR2
29,30,1.5,7.2,2.5,5.6,4,15-9UR2
30,20,7.2,6.2,4.3,5,5,15-9UR2
31,27,7.2,6.7,3.7,7.4,3,15-9UR2
32,28,2.9,6.1,3.9,6.4,1,15-9UR2
33,10,3.4,7.1,3.4,2.7,1,15-9UR2
34,33,3.6,6.7,3.3,3.3,1,15-9UR2
35,22,4.8,4.5,6.3,6.8,1,15-9UR2
36,15,7.2,4.2,6,6.3,1,15-9UR2
37,38,2.4,7,3.5,1,1,15-9UR2
38,9,7.2,5.9,5.7,7.7,5,15-9UR2
1,1,8.6,6.2,7.6,6.8,3,16-9USC
2,25,5.9,2.4,6.9,3.1,1,16-9USC
3,36,2,6.6,1.3,1,1,16-9USC
4,12,7.2,2.1,4.6,7.1,1,16-9USC
5,23,3.5,3.1,2.1,1,1,16-9USC
6,2,7.1,5,5,9,5,16-9USC
7,21,5,5,5,3.3,1,16-9USC
8,14,7.3,7,6.7,7.1,3,16-9USC
9,5,6,6.2,6.2,6.7,3,16-9USC
10,31,4.4,5.8,3.7,1,1,16-9USC
11,30,5,5,5,4.2,4,16-9USC
12,19,7.3,5,5.8,7.1,3,16-9USC
13,26,5.9,5,5,6.8,1,16-9USC
14,37,1,7.1,4.5,1,1,16-9USC
15,4,6.9,5,5,6.3,3,16-9USC
16,15,6.3,3.6,5,5.9,1,16-9USC
17,17,5,1.2,5,1,1,16-9USC
18,22,5,1.9,2.4,1.1,1,16-9USC
19,39,2.2,3.4,2.8,1,1,16-9USC
20,24,3.3,2.5,2.6,7.9,5,16-9USC
21,6,7,6.2,5,6.4,1,16-9USC
22,32,4.2,4.1,3.3,1,1,16-9USC
23,27,5,5,5,5.6,3,16-9USC
24,33,5,4.4,5.7,1,1,16-9USC
25,29,6.1,3.3,3.7,6.2,4,16-9USC
26,11,7.2,4,5.7,7.8,1,16-9USC
27,28,4.5,4.2,4.5,7.7,1,16-9USC
28,20,8,6.4,7.3,9,5,16-9USC
29,7,7.7,7.1,7.2,7.4,5,16-9USC
30,40,4.6,4.6,5.8,1.1,1,16-9USC
31,13,6.2,4.1,5.8,6.5,1,16-9USC
32,38,3.1,5.6,3.8,1,1,16-9USC
33,8,6.8,4.4,5.4,6.5,4,16-9USC
34,3,8.1,6.1,7.3,8.5,5,16-9USC
35,34,4.6,5,5,3,1,16-9USC
36,9,7.9,5.9,6.8,9,5,16-9USC
37,10,4.3,5,5.7,4,1,16-9USC
38,18,3.6,2.2,1.8,8.9,4,16-9USC
1,30,3,1.4,4.7,5,1,17-9UTL
2,7,4.9,1,9,1,1,17-9UTL
3,10,5,2.9,9,1,1,17-9UTL
4,21,3,1,6.7,1,1,17-9UTL
5,31,1,5,2.6,1,1,17-9UTL
6,32,1,2.9,4.8,1,1,17-9UTL
7,13,6.1,4.1,9,5,1,17-9UTL
8,14,8,7.1,6.6,9,5,17-9UTL
9,23,2.7,3.2,6.7,1,3,17-9UTL
10,34,5,1,9,1,1,17-9UTL
11,19,5,1,9,2.7,1,17-9UTL
12,3,7.1,6,6.6,7,2,17-9UTL
13,25,7,3,9,6.7,1,17-9UTL
14,26,4.9,1,9,3.1,1,17-9UTL
15,28,3.1,1,6.6,1,1,17-9UTL
16,39,3.1,1,6.6,1,1,17-9UTL
17,2,5,2.9,6.9,2.4,1,17-9UTL
18,37,3.1,5,6.9,1,1,17-9UTL
19,36,5,3.1,9,1,1,17-9UTL
20,33,2.8,1,7.8,1,1,17-9UTL
21,6,6.2,6.1,7.7,6,1,17-9UTL
22,9,7,6,7.8,7.9,5,17-9UTL
23,17,5,1,9,1.7,1,17-9UTL
24,27,6,5.8,8.9,6.2,3,17-9UTL
25,18,8,6.9,6.7,8.9,5,17-9UTL
26,11,6.2,6,7.8,6.9,2,17-9UTL
27,1,5,1.2,8.9,2.7,1,17-9UTL
28,40,5,1,9,3.2,1,17-9UTL
29,12,5,1,9,5.1,1,17-9UTL
30,20,7,7,6.7,9,5,17-9UTL
31,38,3.1,1,6.9,1,1,17-9UTL
32,8,7.1,6,7.1,6.8,2,17-9UTL
33,4,5,3.1,8.7,5.1,1,17-9UTL
34,15,6.9,6,8.6,7.1,1,17-9UTL
35,29,3,6,5.8,7.3,5,17-9UTL
36,22,6.8,2.9,7,5.8,1,17-9UTL
37,24,4.3,3,6.6,9,5,17-9UTL
38,5,5,1.3,8.8,5,2,17-9UTL
1,2,9,6.9,3.4,9,5,18-9UVM
2,23,2.7,2.2,7.8,1,1,18-9UVM
3,1,6.4,2.9,9,3.7,1,18-9UVM
4,22,3.8,7.9,1.9,7.3,1,18-9UVM
5,25,3.8,3.3,7.4,9,1,18-9UVM
6,18,7.2,1.6,9,7.1,4,18-9UVM
7,20,6.5,4,7.6,6.2,1,18-9UVM
8,27,5,2.6,8.5,5,1,18-9UVM
9,30,3.5,2.1,9,2,3,18-9UVM
10,17,5.8,1.9,9,6,1,18-9UVM
11,24,1.5,7.2,2.7,9,4,18-9UVM
12,15,6.9,3.9,7.3,6.4,1,18-9UVM
13,36,2.8,1.9,8.9,1.8,1,18-9UVM
14,21,3.1,2,9,4,1,18-9UVM
15,38,3.8,1.7,8.8,2.9,1,18-9UVM
16,14,8.7,7,2.8,9,4,18-9UVM
17,12,7,6,5.3,7.3,1,18-9UVM
18,34,4.1,2.3,9,1,1,18-9UVM
19,5,7.9,7.2,3.3,9,4,18-9UVM
20,31,3.1,4,8,5.7,1,18-9UVM
21,13,7.1,5.7,4.4,7.5,1,18-9UVM
22,26,3.1,2.1,8.2,3,1,18-9UVM
23,10,3.6,3.2,7.9,3.2,1,18-9UVM
24,29,3.6,3.9,7.6,7.2,3,18-9UVM
25,4,6.6,3.5,7.8,6.4,1,18-9UVM
26,37,3,2,9,1,1,18-9UVM
27,39,3.1,1.7,8.9,1.7,1,18-9UVM
28,33,4.6,1,9,1,1,18-9UVM
29,11,7.3,4.4,6.3,7.1,1,18-9UVM
30,32,6.3,6,6.7,5.7,5,18-9UVM
31,28,4,3.5,7.2,6.2,1,18-9UVM
32,6,8.5,7.3,3.2,9,4,18-9UVM
33,8,7.1,5.9,3.6,9,1,18-9UVM
34,19,6.9,3.8,6.2,5.7,1,18-9UVM
35,9,7,6.6,3.7,8.9,4,18-9UVM
36,40,4.2,1.9,8.3,1.9,1,18-9UVM
37,7,8.2,8.1,1.4,9,4,18-9UVM
38,3,6.9,6.6,4.1,7.5,1,18-9UVM
1,22,6,2.5,7.1,6.9,2,19-9UY7
2,28,6.3,2.3,6.8,6.2,2,19-9UY7
3,24,5.9,3.5,6.7,3.1,4,19-9UY7
4,23,5.3,2.7,7,3.5,3,19-9UY7
5,19,6.5,2.9,6.7,6.8,4,19-9UY7
6,32,6,3.5,6.8,5.7,3,19-9UY7
7,33,6.8,3.7,6.7,6.9,3,19-9UY7
8,27,4,3.1,6.3,3.1,3,19-9UY7
9,29,5.8,2.4,7.3,5.8,3,19-9UY7
10,8,6.8,2.6,6.9,6.2,5,19-9UY7
11,26,7.1,1.5,6.2,7.6,2,19-9UY7
12,39,6.7,3.7,6.7,6.9,3,19-9UY7
13,9,7.3,3.2,6.2,8.4,5,19-9UY7
14,21,5,3,6.7,5.1,2,19-9UY7
15,4,5.9,3,6.3,6.6,5,19-9UY7
16,14,6,2.4,6.3,5.7,4,19-9UY7
17,10,7.4,4.6,5.9,8.4,4,19-9UY7
18,13,6.6,2,6.8,7,2,19-9UY7
19,34,3,3.9,6.2,1.9,2,19-9UY7
20,38,6.4,3,6.9,6.9,2,19-9UY7
21,40,6.6,3,7,7,3,19-9UY7
22,11,7,2.8,6.6,6.6,2,19-9UY7
23,36,6.9,3.7,6.6,7.7,4,19-9UY7
24,1,5.6,2.8,6.7,4.9,4,19-9UY7
25,37,3.6,4.5,5.8,3,3,19-9UY7
26,15,5.6,2.9,6.8,6.4,2,19-9UY7
27,25,5,2.6,6.9,4.4,2,19-9UY7
28,17,6.4,2.4,7.2,6.7,3,19-9UY7
29,6,6.9,3.4,6.5,6.8,4,19-9UY7
30,31,5.2,3,6.8,4.4,2,19-9UY7
31,5,5.2,4,5.3,7.2,4,19-9UY7
32,3,6.5,2.6,6.4,6.9,4,19-9UY7
33,20,5,2.5,6.8,3.7,2,19-9UY7
34,12,6.8,2.3,6.9,7.1,2,19-9UY7
35,18,7.5,1.7,6.7,8.3,5,19-9UY7
36,2,7.3,3.5,6.7,8,5,19-9UY7
37,30,5.4,2.9,6.8,6.7,3,19-9UY7
38,7,6.6,2.9,6.6,7.5,5,19-9UY7
1,25,4.5,5.6,5.3,4.2,2,20-9V52
2,23,5,5,9,1,1,20-9V52
3,19,7.8,6,6,8,5,20-9V52
4,27,4.9,5.9,5.4,3.7,1,20-9V52
5,36,3.8,6.9,3.1,1,1,20-9V52
6,15,8.6,2.7,6.6,7.3,5,20-9V52
7,4,8.2,8.2,6,8.6,5,20-9V52
8,11,9,6,7.9,9,2,20-9V52
9,9,8.4,5.9,5.2,9,5,20-9V52
10,20,8.7,5.4,6.7,9,2,20-9V52
11,30,2.9,3.4,4,7.1,4,20-9V52
12,13,8,5.1,4.9,9,2,20-9V52
13,3,8,6.9,3.4,9,5,20-9V52
14,8,7.6,6.8,3.2,9,5,20-9V52
15,31,4,4.3,6.7,1,1,20-9V52
16,12,7.1,3.5,7.9,7.4,2,20-9V52
17,28,5,2.5,8,2,1,20-9V52
18,26,5,2.1,7.9,3.3,1,20-9V52
19,33,1.8,7.4,3.8,1,1,20-9V52
20,34,5.7,8.2,2.1,6.1,1,20-9V52
21,39,1.7,6,6.9,1,1,20-9V52
22,6,6.6,7.2,2.9,6.9,1,20-9V52
23,32,4.7,4.3,6.7,2.3,1,20-9V52
24,38,2,4.8,6.2,1,1,20-9V52
25,21,5,1.8,8.4,3.1,1,20-9V52
26,24,2.8,3.7,3.3,6.7,5,20-9V52
27,22,6.4,3.1,3.6,6.6,1,20-9V52
28,29,3,6.1,3.3,6.8,5,20-9V52
29,5,7.9,8,2.5,8.6,5,20-9V52
30,18,9,3.5,6.3,9,5,20-9V52
31,2,5,6.6,4.1,3.8,1,20-9V52
32,10,3.7,7,4.1,2,1,20-9V52
33,17,5,2.7,8.4,5,1,20-9V52
34,37,3.1,6.5,3.4,1,1,20-9V52
35,7,9,8.4,1.9,8.7,5,20-9V52
36,40,2,6.5,3.6,1,1,20-9V52
37,14,8.3,3.7,5.5,7.8,5,20-9V52
38,1,7.2,6.8,3.7,7.4,5,20-9V52
1,36,4.1,2.9,5.8,2,2,21-9V5J
2,23,3.8,3.5,3.5,1.9,1,21-9V5J
3,28,3.3,2.5,2.5,2.7,1,21-9V5J
4,33,5,3,5.9,5,2,21-9V5J
5,30,2.2,2.8,2,1,3,21-9V5J
6,29,5,5,6.6,6.9,5,21-9V5J
7,32,3.2,3.3,5,1,1,21-9V5J
8,19,9,5,5,9,5,21-9V5J
9,2,6.7,2.9,5,6.5,1,21-9V5J
10,8,7.1,3.1,5,8.9,4,21-9V5J
11,37,1.9,5.9,6.2,1,1,21-9V5J
12,3,7.4,6.2,5.9,8.9,5,21-9V5J
13,11,8.3,4.2,5,9,1,21-9V5J
14,1,7.3,2.7,5,7.6,5,21-9V5J
15,13,6.4,2.2,5,6.5,1,21-9V5J
16,6,5,5,5,7,1,21-9V5J
17,10,5,5,5,5,1,21-9V5J
18,15,6.3,2.6,5,6.8,1,21-9V5J
19,34,3.3,4.1,5,2.5,1,21-9V5J
20,18,7.3,5,5,7.8,5,21-9V5J
21,7,5.6,5,5,6.4,5,21-9V5J
22,27,6.3,3.9,5,6.8,2,21-9V5J
23,22,6.5,4.1,5,6.3,1,21-9V5J
24,20,6.3,3.8,4.2,5.6,2,21-9V5J
25,17,6.5,5,5,6.4,3,21-9V5J
26,40,5,3.4,5,3.6,1,21-9V5J
27,25,5,2.9,5,5,1,21-9V5J
28,31,4.2,3.8,5.9,1.9,1,21-9V5J
29,21,4.5,2.7,5,3.5,1,21-9V5J
30,12,6.2,2.4,5,6.7,1,21-9V5J
31,39,4,5,5,2.1,1,21-9V5J
32,24,3.9,3.2,5,5.7,4,21-9V5J
33,5,6.1,5,6.1,7,4,21-9V5J
34,26,5,2.4,5,3.4,1,21-9V5J
35,14,6.7,3.5,4.3,6.4,5,21-9V5J
36,38,3.3,5,4,2.3,1,21-9V5J
37,9,6.7,5,5,7.4,4,21-9V5J
38,4,7.1,5.5,5,7.3,5,21-9V5J
1,11,7.5,6.4,3.8,7.4,1,22-9V5N
2,36,3.9,7,3.9,4.8,1,22-9V5N
3,38,2.7,6.4,2.5,2.2,1,22-9V5N
4,28,5,2.2,8.3,3.6,1,22-9V5N
5,21,5,1,7.7,5,1,22-9V5N
6,40,5.9,3.9,6.6,6.4,1,22-9V5N
7,20,7.9,6.4,3.6,9,5,22-9V5N
8,19,7.3,6,6.4,7.1,1,22-9V5N
9,13,8.3,3.8,3.7,8.3,1,22-9V5N
10,37,1,7.2,1.9,1,1,22-9V5N
11,1,7.7,7.6,2.9,8.3,5,22-9V5N
12,14,7.9,3.5,6.7,9,5,22-9V5N
13,22,5.7,1.8,6.5,4.8,1,22-9V5N
14,6,6,6.6,7,5.7,4,22-9V5N
15,3,7.3,6,7.1,9,5,22-9V5N
16,2,6,3.6,7,6.1,3,22-9V5N
17,26,5.1,1,6.7,6,1,22-9V5N
18,33,4.9,3.2,7.5,3.2,1,22-9V5N
19,25,4.2,1,6.5,6,5,22-9V5N
20,39,3.2,3.4,6.9,1.7,1,22-9V5N
21,29,6.2,3,6.7,9,4,22-9V5N
22,24,3.6,3.1,8.2,7.5,5,22-9V5N
23,12,7.1,2,6.7,9,1,22-9V5N
24,27,6.9,1,6.8,7.1,3,22-9V5N
25,23,3.4,6,3.7,4,1,22-9V5N
26,32,2.1,6,2.9,1.2,2,22-9V5N
27,4,6.6,6,7.8,7.8,4,22-9V5N
28,18,7.4,2.1,6.8,7.7,5,22-9V5N
29,8,8.2,6.6,3.2,8.3,5,22-9V5N
30,5,7.7,6.8,2.4,8.1,5,22-9V5N
31,34,3.2,6.7,3.2,2.4,1,22-9V5N
32,15,6.9,1,3.7,7.5,1,22-9V5N
33,17,5,1.7,7.8,3.5,1,22-9V5N
34,10,3.5,6.1,4,2.7,1,22-9V5N
35,31,2.5,2.5,5.7,1,1,22-9V5N
36,7,5.1,3.3,7.4,2.5,2,22-9V5N
37,30,3.1,7.1,3.1,1,4,22-9V5N
38,9,7.3,5.8,6.5,9,5,22-9V5N
1,38,1,9,1,1,1,23-9VIV
2,17,5,1,9,4.9,1,23-9VIV
3,2,7,6.1,8.3,7.9,4,23-9VIV
4,24,4.3,1,6.7,6.9,4,23-9VIV
5,14,8.2,1,9,9,5,23-9VIV
6,6,4.1,6.2,6.9,2.8,1,23-9VIV
7,12,9,1,9,9,1,23-9VIV
8,3,9,6.3,9,9,5,23-9VIV
9,33,1,9,2.2,1,1,23-9VIV
10,15,5.7,3.1,6.6,6.4,1,23-9VIV
11,22,7.8,2.1,9,8.3,1,23-9VIV
12,7,5,5,8.1,5.1,4,23-9VIV
13,13,6.9,1,9,7,1,23-9VIV
14,29,2.2,6.4,2.7,8,5,23-9VIV
15,20,9,2.7,1,9,5,23-9VIV
16,5,5,2.2,9,5,3,23-9VIV
17,39,1,9,1,1,1,23-9VIV
18,32,1,6.4,3.8,3.2,1,23-9VIV
19,4,8.3,7.1,7.5,7.1,3,23-9VIV
20,40,2.8,5.7,3.7,2.7,1,23-9VIV
21,28,3.4,1.6,7.9,5.4,1,23-9VIV
22,27,6.8,1,8.9,7.7,1,23-9VIV
23,36,2,7.2,4,2.4,1,23-9VIV
24,11,9,1.3,9,9,1,23-9VIV
25,34,2.6,7.2,3.1,3.8,1,23-9VIV
26,26,8.7,1,9,8.2,1,23-9VIV
27,23,2.9,5,5.2,1,1,23-9VIV
28,10,3.3,6.8,4.1,1.4,1,23-9VIV
29,37,1,8.5,1,1,1,23-9VIV
30,19,6.2,3.8,7.8,7,4,23-9VIV
31,31,1.7,8.8,1.9,1,1,23-9VIV
32,21,3.3,1,7.3,4.9,1,23-9VIV
33,30,3.2,6,4.3,4,2,23-9VIV
34,25,4.3,1,8.9,6.4,4,23-9VIV
35,8,6.8,5.2,8.7,5.9,4,23-9VIV
36,1,7.6,6.7,6,7,4,23-9VIV
37,18,9,1.2,9,8.1,4,23-9VIV
38,9,7.9,4.5,8.4,7.2,3,23-9VIV
1,25,4.8,1,8.2,5,1,24-9VL3
2,18,6.7,5.9,7,5.8,3,24-9VL3
3,6,8.6,5.9,5.1,8.4,4,24-9VL3
4,26,5,1.9,7.7,4.2,1,24-9VL3
5,23,4.3,4.4,6.7,4.1,1,24-9VL3
6,22,4.2,5.7,4.5,5.6,1,24-9VL3
7,20,8.5,5.9,4.1,9,5,24-9VL3
8,38,2.7,7,3.7,1.4,1,24-9VL3
9,24,2.5,6.6,3.9,6.8,4,24-9VL3
10,4,8.1,4.9,5.9,7.4,3,24-9VL3
11,8,7.7,5.9,4.6,9,5,24-9VL3
12,32,1.4,8.1,3.1,1,1,24-9VL3
13,21,3.5,5.3,5.3,2.1,1,24-9VL3
14,17,5.1,1.5,8.3,4.7,1,24-9VL3
15,14,6.9,4.1,5.7,7.3,4,24-9VL3
16,7,5,6.2,3.6,4.8,3,24-9VL3
17,12,8.6,7.3,3.8,8.7,1,24-9VL3
18,31,1,6.8,2.4,1,1,24-9VL3
19,9,9,6.7,4.3,9,3,24-9VL3
20,28,3.6,3.6,5.6,5,2,24-9VL3
21,39,1.6,7.6,4.2,1,1,24-9VL3
22,19,6,3.1,7.2,5.1,3,24-9VL3
23,10,2.6,6,4.4,3.2,1,24-9VL3
24,15,5,2,8.5,2.1,1,24-9VL3
25,33,4.6,4.3,7.1,3.4,1,24-9VL3
26,3,6.9,4.9,6.4,6.4,2,24-9VL3
27,37,1,8.2,2.2,1,1,24-9VL3
28,13,8.1,6,2.2,7.7,1,24-9VL3
29,2,9,8.5,3.4,9,5,24-9VL3
30,34,5,4,8.3,3.3,1,24-9VL3
31,36,3.3,5.7,5.8,1,1,24-9VL3
32,30,1,8.3,3.2,1,1,24-9VL3
33,11,8.3,5.6,6,7.2,2,24-9VL3
34,1,7.6,5.4,4.9,7.3,4,24-9VL3
35,29,5,4,6.6,5,3,24-9VL3
36,40,4.6,4.6,6.2,3.5,1,24-9VL3
37,27,5,3.2,6,5,1,24-9VL3
38,5,8.7,5.3,8.7,7.9,4,24-9VL3
1,23,3.2,4,6.6,5.9,4,25-9VNK
2,11,8.6,6,4.8,8.8,2,25-9VNK
3,12,7.4,2.7,7.4,7,3,25-9VNK
4,14,8.2,6.4,3.7,8.2,5,25-9VNK
5,10,3.9,7.1,3.8,4,1,25-9VNK
6,30,2.6,6.4,2.7,6.3,5,25-9VNK
7,2,6,2.1,7.7,6.3,4,25-9VNK
8,20,5.9,3.1,6.8,5,4,25-9VNK
9,6,6.6,4.2,6.3,7.1,2,25-9VNK
10,15,6.6,2.3,7.8,7.2,1,25-9VNK
11,7,7.3,6.6,4.4,7.4,5,25-9VNK
12,40,6.1,7,3.6,5.9,2,25-9VNK
13,33,3.9,5.9,4.2,4.1,1,25-9VNK
14,3,7.9,6.3,4.2,8.1,5,25-9VNK
15,31,3.8,5.3,6.2,4.2,1,25-9VNK
16,34,2.8,7.3,3.2,4.5,1,25-9VNK
17,17,5,2.9,8.1,6,2,25-9VNK
18,37,2.7,5.8,3.1,4,1,25-9VNK
19,39,3.5,5.1,6.2,4.8,1,25-9VNK
20,18,8.4,3.8,6.7,8.7,5,25-9VNK
21,9,8.2,6.5,3.9,8.7,5,25-9VNK
22,26,4.6,2.1,8.3,6.7,2,25-9VNK
23,28,4.3,2.8,6.7,6.2,4,25-9VNK
24,24,4,3.2,6,6.6,5,25-9VNK
25,38,4.4,5.9,5.9,4.5,1,25-9VNK
26,32,3.9,6,6.7,4.7,2,25-9VNK
27,25,4.5,3.4,7.7,6.2,2,25-9VNK
28,5,6.3,5.3,5.7,6.7,5,25-9VNK
29,4,7.1,6.7,5.5,7.4,5,25-9VNK
30,22,5.6,3.3,7,6.7,2,25-9VNK
31,21,4.5,3.5,7.8,5.7,2,25-9VNK
32,36,3.8,6.1,4.2,6,2,25-9VNK
33,29,5.7,2.4,6.9,6.5,4,25-9VNK
34,1,7.9,6.5,3.6,8.2,5,25-9VNK
35,27,5.4,3.8,8.2,6.7,4,25-9VNK
36,8,7.5,6.8,3.9,8,5,25-9VNK
37,13,7.6,3.7,3.1,7.6,2,25-9VNK
38,19,8.4,7,3.2,8.1,5,25-9VNK
1,22,5.6,1,7.7,4.2,1,26-9VTJ
2,27,7.7,6.5,3.7,8.1,1,26-9VTJ
3,17,5,1,9,1,1,26-9VTJ
4,24,2,7.4,1.9,8,4,26-9VTJ
5,28,4.6,2.9,8,6.4,1,26-9VTJ
6,23,4.7,1.8,9,3.8,1,26-9VTJ
7,40,6.3,6.4,3.8,6.8,1,26-9VTJ
8,9,8.2,7.4,2.9,9,5,26-9VTJ
9,12,6.6,2.9,6.8,7.4,1,26-9VTJ
10,1,6.8,3.6,8,7.7,5,26-9VTJ
11,38,2.9,5.7,2.5,2.2,1,26-9VTJ
12,31,2.9,7.5,1.7,6.9,1,26-9VTJ
13,30,3.3,3.8,3.5,6.8,2,26-9VTJ
14,25,2.8,6.8,2.7,6.6,1,26-9VTJ
15,20,6.8,5.8,3.8,8.2,4,26-9VTJ
16,29,4.5,4.1,9,6.7,3,26-9VTJ
17,39,5.1,3.9,7.7,2.6,1,26-9VTJ
18,34,6.1,6.5,3.6,7,1,26-9VTJ
19,10,4.4,5.8,6,4.8,1,26-9VTJ
20,11,8.3,7,3.7,8.6,1,26-9VTJ
21,7,7.9,6.9,1.9,9,5,26-9VTJ
22,4,7.2,5.9,7,7.4,5,26-9VTJ
23,21,5,1.7,8.7,5,1,26-9VTJ
24,15,6.9,2.8,7.6,7,1,26-9VTJ
25,32,5,2.9,7.6,5,1,26-9VTJ
26,2,6.4,4,7.8,6.4,2,26-9VTJ
27,19,7.3,5.4,3.3,7.9,4,26-9VTJ
28,14,7.8,6.6,2.4,9,5,26-9VTJ
29,6,9,3.2,2.8,9,1,26-9VTJ
30,13,5.5,1.5,9,5,1,26-9VTJ
31,37,4.4,3.1,7.8,4.1,1,26-9VTJ
32,26,5,1.7,8.4,5,1,26-9VTJ
33,36,4.3,4,6.5,2.8,1,26-9VTJ
34,8,7.7,2.8,2.5,9,5,26-9VTJ
35,33,3.9,4.6,8.3,3.7,1,26-9VTJ
36,18,8.4,5.4,3.4,8.6,5,26-9VTJ
37,5,5.7,2.1,8.8,6.5,3,26-9VTJ
38,3,6,6,3.6,7.4,5,26-9VTJ
1,20,8.5,4.3,6,7.7,1,27-9VUW
2,34,2.1,6,4.2,1.5,1,27-9VUW
3,7,3.4,4.4,5.7,2.9,3,27-9VUW
4,37,1.6,6.5,3,1,1,27-9VUW
5,32,2.9,6.8,3.4,1.5,1,27-9VUW
6,30,3.1,4,6.4,8,3,27-9VUW
7,31,5,6.1,5,6.2,1,27-9VUW
8,21,4.1,3,7,4.6,1,27-9VUW
9,36,3.9,5.4,4.8,2.7,1,27-9VUW
10,28,5,2,7.8,6.4,1,27-9VUW
11,23,4.7,2.2,6.1,5.4,1,27-9VUW
12,39,3,4.5,8.6,2.2,1,27-9VUW
13,18,7,3.7,4.2,7.7,5,27-9VUW
14,1,5.9,5.8,3.9,5.3,4,27-9VUW
15,25,6,2.5,4.4,6.4,1,27-9VUW
16,27,7.2,3.4,3.4,7.1,1,27-9VUW
17,26,4.6,3.2,7.7,5.3,1,27-9VUW
18,33,4.6,6.1,6,4,1,27-9VUW
19,2,4.2,5.1,7.4,4.4,2,27-9VUW
20,10,5,5,8.4,4.4,1,27-9VUW
21,9,7.2,5.8,2,8.1,5,27-9VUW
22,13,6.5,3.6,4,7.5,2,27-9VUW
23,24,4.3,2.4,7.3,6.3,1,27-9VUW
24,4,5.8,6.1,3.6,6,3,27-9VUW
25,29,4.6,5.2,3.7,8.4,5,27-9VUW
26,38,2.3,5.8,7.5,2,1,27-9VUW
27,6,5.8,5,4.9,5.3,1,27-9VUW
28,22,4.7,3.6,6.6,4.6,1,27-9VUW
29,8,7.1,5.8,3.8,6.7,5,27-9VUW
30,15,6.8,3.6,5,5,1,27-9VUW
31,5,5,6.1,4.2,5.6,3,27-9VUW
32,17,7,3.1,7.1,5.9,1,27-9VUW
33,12,8.1,5.9,2.9,6.8,1,27-9VUW
34,11,8.6,6,2,7.9,1,27-9VUW
35,40,5,6.2,3.5,3.9,1,27-9VUW
36,19,7.1,6.2,3.1,6.5,4,27-9VUW
37,3,8,6.5,2.8,8.2,5,27-9VUW
38,14,8.2,6.6,1,9,5,27-9VUW
1,40,5,3.2,5.6,1,2,28-9VXK
2,29,6.6,6.4,4.3,9,5,28-9VXK
3,38,3.8,5,6.7,1,1,28-9VXK
4,18,7.6,5.9,4.5,8.9,5,28-9VXK
5,7,6,3.5,6.8,5.5,5,28-9VXK
6,34,5,5,6.4,1.7,1,28-9VXK
7,1,5,3,7.1,5,1,28-9VXK
8,27,6,5,5.5,7.3,3,28-9VXK
9,19,6.4,4,6.6,6.2,1,28-9VXK
10,28,3.3,5,5.4,7.2,5,28-9VXK
11,2,7.6,5.4,4.5,7,5,28-9VXK
12,13,6.3,3.9,4,8.1,1,28-9VXK
13,6,4,5.6,4.5,5,2,28-9VXK
14,36,1.2,6.9,2.5,2.5,1,28-9VXK
15,33,4.4,4.4,5.6,3.3,1,28-9VXK
16,22,5,5.9,5.2,6.2,1,28-9VXK
17,20,6.9,4.3,5.6,6.9,2,28-9VXK
18,10,4.3,5.8,5.5,5,1,28-9VXK
19,26,6.2,4.1,6.3,7.1,1,28-9VXK
20,25,2.5,6.1,3.7,9,1,28-9VXK
21,12,7.7,5,5,9,1,28-9VXK
22,30,1.8,6.1,3.7,6.5,3,28-9VXK
23,23,3,5.7,4.3,5,3,28-9VXK
24,15,5,3,7,3.6,1,28-9VXK
25,8,7.3,4.6,5.7,8.3,4,28-9VXK
26,37,2.1,6.3,3.2,1,1,28-9VXK
27,21,6,3.9,5.7,6.7,3,28-9VXK
28,3,5,2.2,7.5,5,1,28-9VXK
29,11,5.8,3.4,6.6,5.9,1,28-9VXK
30,32,4.2,5,4.6,2.3,1,28-9VXK
31,4,6.4,5,5.7,6.6,1,28-9VXK
32,24,5,4.2,6.3,7.1,5,28-9VXK
33,31,4.1,4.2,7.3,1,1,28-9VXK
34,5,6.9,5,5.9,8,5,28-9VXK
35,39,5,3.1,6.9,1,1,28-9VXK
36,17,5,1.9,7.9,5,1,28-9VXK
37,9,9,5,4.6,9,5,28-9VXK
