variant,nRows,nParticipants,meanPreSelectedFrac,meanWalkSelectedFrac,pearson_r,pearson_p,spearman_rho,spearman_p,subject_pearson_r,subject_pearson_p
dynamic_to_dynamic,1776,48,0.987079954954955,0.855572926041119,-0.171210893863561,3.76109266693204e-13,-0.155599566114537,4.31174462157425e-11,-0.253749919116971,0.0818064084291512
raw_to_raw,1776,48,0.987079954954955,0.855572926041119,0.00311666374350075,0.895575799406495,0.0113127292954494,0.63376978836194,-0.0585435087821841,0.692659061169026
dynamic_to_raw,1776,48,0.987079954954955,0.855572926041119,-0.0182280596221199,0.442664820140087,-0.0301819582439254,0.203607452444639,-0.0164995729474472,0.91137317972594
