participantID,participantCode,seq,exp,prewalkStart,walkB,walkE,walkFinish,preCandidateN,preSelectedN,walkCandidateN,walkSelectedN,preLowAnimFrac,walkContinuousFrac,preDynamicMedian,preRawMedian,walkDynamicMedian,walkRawMedian
01-9TZK,9TZK,1,7,372.059000015259,377.059000015259,396.133999824524,403.581413510185,500,500,2652,1780,1,0.671191553544495,23.4607881000601,968.962374114848,168.815367271247,979.726256787976
01-9TZK,9TZK,2,4,510.513999938965,515.513999938965,534.578999996185,542.621502954633,500,500,2710,1758,1,0.648708487084871,24.0348847829214,965.811268618365,177.365939318407,976.609888003928
01-9TZK,9TZK,3,40,637.336999893188,642.336999893188,661.379999876022,671.416609809764,500,500,2908,2028,1,0.697386519944979,24.627965920429,975.903614457831,160.096930912422,979.170495097776
01-9TZK,9TZK,4,17,759.888999938965,764.888999938965,783.951999902725,791.006451546185,500,500,2612,1653,1,0.632848392036753,23.402482229921,966.412271332794,193.106842018243,984.787763225033
01-9TZK,9TZK,5,23,881.619999885559,886.619999885559,905.65499997139,914.300160779267,500,500,2768,1946,1,0.703034682080925,25.8834163599287,966.149372076253,178.506750112582,981.021830642038
01-9TZK,9TZK,6,2,1012.53799986839,1017.53799986839,1036.58599996567,1043.83185649255,500,500,2629,1809,1,0.688094332445797,24.7018004169323,965.360271036633,180.586766593318,981.909231846226
01-9TZK,9TZK,7,32,1145.62099981308,1150.62099981308,1169.68499994278,1177.08899386227,500,500,2647,1832,1,0.692104268983755,22.8722847920701,966.937842276304,198.620788423713,985.119359525258
01-9TZK,9TZK,8,14,1268.01099991798,1273.01099991798,1292.08499979973,1330.25758865716,500,500,5725,1295,1,0.226200873362445,24.1317912351252,965.736116980807,163.53932072817,991.032516755604
01-9TZK,9TZK,9,18,1422.41499996185,1427.41499996185,1446.46799993515,1452.8297602886,500,500,2541,1524,1,0.599763872491145,24.0242245458964,965.811268618365,156.707529278465,980.947844305295
01-9TZK,9TZK,10,25,1544.79099988937,1549.79099988937,1568.85199999809,1575.03298072469,500,500,2525,1566,1,0.62019801980198,24.7754536755003,966.412271332794,169.717333086004,985.229864988446
01-9TZK,9TZK,11,13,1664.53299999237,1669.53299999237,1688.60099983215,1695.81220925183,500,500,2627,1633,1,0.621621621621622,24.1671528874904,965.736116980807,144.542873048226,978.058011691682
01-9TZK,9TZK,12,1,1776.23000001907,1781.23000001907,1800.30799984932,1805.76606074128,500,500,2454,1812,1,0.73838630806846,24.627965269636,966.412271332794,168.374745932095,983.201922206663
01-9TZK,9TZK,13,39,1888.17499995232,1893.17499995232,1912.22699999809,1919.60393969915,500,500,2643,1799,1,0.680665909950813,23.6083340754361,966.900310240294,163.464117746097,981.391678659189
01-9TZK,9TZK,14,6,2008.82399988174,2013.82399988174,2032.8869998455,2038.84070358794,500,500,2501,1743,1,0.696921231507397,22.5451548595266,968.962374114848,162.561069407135,983.607846355943
01-9TZK,9TZK,15,20,2120.06399989128,2125.06399989128,2144.11299991608,2150.12779829122,500,500,2506,1353,1,0.539904229848364,24.2189182002492,967.613156880061,172.907307960581,983.09118741327
01-9TZK,9TZK,16,36,2265.34899997711,2270.34899997711,2289.41100001335,2297.30565684713,500,500,2696,1630,1,0.60459940652819,23.8983117969161,967.613156880061,149.767114099339,978.948099555271
01-9TZK,9TZK,17,9,2401.23299980164,2406.23299980164,2425.27099990845,2430.54881640251,500,500,2431,1461,1,0.600987248046072,22.9021324166799,965.360271036633,166.151010093061,979.615134715833
01-9TZK,9TZK,18,37,2510.91199994087,2515.91199994087,2534.96199989319,2539.32651601275,500,500,2342,1571,1,0.670794192997438,24.4376899213964,966.862778204283,182.080419901301,983.607846355943
01-9TZK,9TZK,19,27,2623.88599991798,2628.88599991798,2647.93699979782,2652.08937988526,500,500,2320,1522,1,0.656034482758621,23.692576511353,965.811268618365,168.578825859432,977.018525556698
01-9TZK,9TZK,20,3,2742.87599992752,2747.87599992752,2766.92299985886,2770.53607145457,500,500,2266,1462,1,0.645189761694616,24.9380527805726,966.412271332794,182.172778975941,981.983134622219
01-9TZK,9TZK,21,24,2849.97399997711,2854.97399997711,2874.02600002289,2877.76279858163,500,500,2279,1548,1,0.679245283018868,23.039668816204,968.437901884751,182.426490466813,985.598133934137
01-9TZK,9TZK,22,26,2971.05199980736,2976.05199980736,2995.13199996948,3000.66633961654,500,500,2462,1610,1,0.653939886271324,23.9447141419356,966.337163516118,193.938257105576,987.878337175172
01-9TZK,9TZK,23,11,3087.41299986839,3092.41299986839,3111.47399997711,3116.67613604424,500,500,2426,1492,1,0.615004122011542,23.1358270948515,967.087941293003,172.855106111459,983.017356825699
01-9TZK,9TZK,24,34,3200.86599993706,3205.86599993706,3224.91599988937,3229.08154928276,500,500,2321,1475,1,0.635501938819474,23.0260758907204,967.763162796299,170.038695440679,978.873956479499
01-9TZK,9TZK,25,31,3306.58399987221,3311.58399987221,3330.64499998093,3336.05330903796,500,500,2447,1539,1,0.628933387821823,23.0890310428643,966.862778204283,155.890253780677,975.903614457831
01-9TZK,9TZK,26,10,3421.47499990463,3426.47499990463,3445.51599979401,3450.97577133558,500,500,2450,1675,1,0.683673469387755,24.1777506231871,967.613156880061,194.937040369748,983.681632624106
01-9TZK,9TZK,27,15,3530.21399998665,3535.21399998665,3554.25499987602,3558.0115789739,500,500,2279,1516,1,0.665204036858271,23.4085624393633,975.977983184513,176.814498018479,981.169761482242
01-9TZK,9TZK,28,33,3638.39399981499,3643.39399981499,3662.45700001717,3666.44148943077,500,500,2304,1664,1,0.722222222222222,24.325627477868,966.412271332794,183.590724243058,980.762853347061
01-9TZK,9TZK,29,8,3751.09599995613,3756.09599995613,3775.15799999237,3779.02467741409,500,500,2293,1466,1,0.639337112952464,23.9934000394212,968.213041101901,179.164554694456,982.795806812905
01-9TZK,9TZK,30,28,3861.11699986458,3866.11699986458,3885.16499996185,3888.51092624063,500,500,2239,1583,1,0.707012058954891,24.0218535398157,967.538145200668,170.129061272081,982.204854081389
01-9TZK,9TZK,31,38,3963.77199983597,3968.77199983597,3987.83299994469,3991.19322195577,500,500,2243,1266,1,0.564422648238966,24.0408052304078,968.437901884751,196.109321022248,986.922767049272
