medianA,medianB,deltaMedian_AminusB,pairLabel,deltaMedian_sorted,subjectID,markerGroup,emotionA,emotionB,ksD,nSamplesA,nSamplesB,nVideosA,nVideosB
2.86445402800391,5.03691647800691,-2.172462450003,FEAR-SAD,2.172462450003,MJ1800,LOWER_LIMB_R,FEAR,SAD,0.148289227117342,29531,25084,1,1
5.28572241896949,5.03691647800691,0.248805940962582,JOY-SAD,-0.248805940962582,MJ1800,LOWER_LIMB_R,JOY,SAD,0.021428120808917,22633,25084,1,1
24.7673536640142,16.2243100438023,8.54304362021184,DISGUST-NEUTRAL,8.54304362021184,MJ1800,WRIST_L,NEUTRAL,DISGUST,0.294641633224143,291,1454,1,1
24.7673536640142,9.38453431909276,15.3828193449214,FEAR-NEUTRAL,15.3828193449214,MJ1800,WRIST_L,NEUTRAL,FEAR,0.525987236131566,291,1750,1,1
24.7673536640142,21.6000150982403,3.16733856577388,JOY-NEUTRAL,3.16733856577388,MJ1800,WRIST_L,NEUTRAL,JOY,0.196557649010546,291,580,1,1
24.7673536640142,24.154321407898,0.613032256116139,NEUTRAL-SAD,-0.613032256116139,MJ1800,WRIST_L,NEUTRAL,SAD,0.0700261104894328,291,866,1,1
16.2243100438023,9.38453431909276,6.83977572470958,DISGUST-FEAR,-6.83977572470958,MJ1800,WRIST_L,DISGUST,FEAR,0.25309648260955,1454,1750,1,1
16.2243100438023,21.6000150982403,-5.37570505443797,DISGUST-JOY,5.37570505443797,MJ1800,WRIST_L,DISGUST,JOY,0.225835981596547,1454,580,1,1
16.2243100438023,24.154321407898,-7.93001136409571,DISGUST-SAD,7.93001136409571,MJ1800,WRIST_L,DISGUST,SAD,0.329712412362488,1454,866,1,1
9.38453431909276,21.6000150982403,-12.2154807791475,FEAR-JOY,12.2154807791475,MJ1800,WRIST_L,FEAR,JOY,0.472256157635468,1750,580,1,1
9.38453431909276,24.154321407898,-14.7697870888053,FEAR-SAD,14.7697870888053,MJ1800,WRIST_L,FEAR,SAD,0.500992411745299,1750,866,1,1
21.6000150982403,24.154321407898,-2.55430630965774,JOY-SAD,2.55430630965774,MJ1800,WRIST_L,JOY,SAD,0.183985028271084,580,866,1,1
25.6939716083769,12.7419013080898,12.9520703002871,DISGUST-NEUTRAL,12.9520703002871,MJ1800,WRIST_R,NEUTRAL,DISGUST,0.461890870244063,516,1698,1,1
25.6939716083769,10.1056497356094,15.5883218727675,FEAR-NEUTRAL,15.5883218727675,MJ1800,WRIST_R,NEUTRAL,FEAR,0.592966020595521,516,1693,1,1
25.6939716083769,15.1933427049268,10.50062890345,JOY-NEUTRAL,10.50062890345,MJ1800,WRIST_R,NEUTRAL,JOY,0.443523216089527,516,683,1,1
25.6939716083769,20.4989342453814,5.19503736299544,NEUTRAL-SAD,-5.19503736299544,MJ1800,WRIST_R,NEUTRAL,SAD,0.265324985092427,516,780,1,1
12.7419013080898,10.1056497356094,2.63625157248043,DISGUST-FEAR,-2.63625157248043,MJ1800,WRIST_R,DISGUST,FEAR,0.162734101548884,1698,1693,1,1
12.7419013080898,15.1933427049268,-2.45144139683703,DISGUST-JOY,2.45144139683703,MJ1800,WRIST_R,DISGUST,JOY,0.180909587888257,1698,683,1,1
12.7419013080898,20.4989342453814,-7.75703293729164,DISGUST-SAD,7.75703293729164,MJ1800,WRIST_R,DISGUST,SAD,0.368351907221165,1698,780,1,1
10.1056497356094,15.1933427049268,-5.08769296931746,FEAR-JOY,5.08769296931746,MJ1800,WRIST_R,FEAR,JOY,0.329863126005886,1693,683,1,1
10.1056497356094,20.4989342453814,-10.3932845097721,FEAR-SAD,10.3932845097721,MJ1800,WRIST_R,FEAR,SAD,0.518594665818529,1693,780,1,1
15.1933427049268,20.4989342453814,-5.30559154045461,JOY-SAD,5.30559154045461,MJ1800,WRIST_R,JOY,SAD,0.291630063445583,683,780,1,1
20.7228969632778,12.7650454238484,7.95785153942941,DISGUST-NEUTRAL,7.95785153942941,MJ1800,LTORSO,NEUTRAL,DISGUST,0.298457276307477,2313,8065,1,1
20.7228969632778,9.54004977280605,11.1828471904718,FEAR-NEUTRAL,11.1828471904718,MJ1800,LTORSO,NEUTRAL,FEAR,0.426657326349051,2313,8665,1,1
20.7228969632778,19.0560281240803,1.66686883919754,JOY-NEUTRAL,1.66686883919754,MJ1800,LTORSO,NEUTRAL,JOY,0.099638032863254,2313,3935,1,1
20.7228969632778,22.361349201502,-1.63845223822415,NEUTRAL-SAD,1.63845223822415,MJ1800,LTORSO,NEUTRAL,SAD,0.0801807377741464,2313,4648,1,1
