medianA,medianB,deltaMedian_AminusB,pairLabel,deltaMedian_sorted,subjectID,markerGroup,emotionA,emotionB,ksD,nSamplesA,nSamplesB,nVideosA,nVideosB
69.2102557032864,68.3913994090516,0.818856294234791,DISGUST-NEUTRAL,0.818856294234791,HH2603,UTORSO,NEUTRAL,DISGUST,0.106633413424983,33011,33011,1,1
69.2102557032864,87.3337020968401,-18.1234463935537,FEAR-NEUTRAL,-18.1234463935537,HH2603,UTORSO,NEUTRAL,FEAR,0.0977827792816083,33011,33011,1,1
69.2102557032864,67.7473554910468,1.46290021223963,JOY-NEUTRAL,1.46290021223963,HH2603,UTORSO,NEUTRAL,JOY,0.0268797933894623,33011,33011,1,1
69.2102557032864,82.8003605446029,-13.5901048413165,NEUTRAL-SAD,13.5901048413165,HH2603,UTORSO,NEUTRAL,SAD,0.0851911554487667,33011,33011,1,1
68.3913994090516,87.3337020968401,-18.9423026877885,DISGUST-FEAR,18.9423026877885,HH2603,UTORSO,DISGUST,FEAR,0.158186076218863,33011,33011,1,1
68.3913994090516,67.7473554910468,0.64404391800484,DISGUST-JOY,-0.64404391800484,HH2603,UTORSO,DISGUST,JOY,0.0972852467103735,33011,33011,1,1
68.3913994090516,82.8003605446029,-14.4089611355513,DISGUST-SAD,14.4089611355513,HH2603,UTORSO,DISGUST,SAD,0.133489461358314,33011,33011,1,1
87.3337020968401,67.7473554910468,19.5863466057934,FEAR-JOY,-19.5863466057934,HH2603,UTORSO,FEAR,JOY,0.105189868361727,33011,33011,1,1
87.3337020968401,82.8003605446029,4.53334155223729,FEAR-SAD,-4.53334155223729,HH2603,UTORSO,FEAR,SAD,0.0590346421728155,33011,33011,1,1
67.7473554910468,82.8003605446029,-15.0530050535561,JOY-SAD,15.0530050535561,HH2603,UTORSO,JOY,SAD,0.0863461816481699,33011,33011,1,1
100.904680756407,108.528905946377,-7.62422518996959,DISGUST-NEUTRAL,-7.62422518996959,HH2603,HEAD,NEUTRAL,DISGUST,0.124991635998662,15005,15005,1,1
100.904680756407,97.3704729308315,3.53420782557566,FEAR-NEUTRAL,3.53420782557566,HH2603,HEAD,NEUTRAL,FEAR,0.0702576112412179,15005,15005,1,1
100.904680756407,97.3685835093759,3.53609724703121,JOY-NEUTRAL,3.53609724703121,HH2603,HEAD,NEUTRAL,JOY,0.107059217129475,15005,15005,1,1
100.904680756407,106.395455213529,-5.49077445712231,NEUTRAL-SAD,5.49077445712231,HH2603,HEAD,NEUTRAL,SAD,0.0901973904315825,15005,15005,1,1
108.528905946377,97.3704729308315,11.1584330155453,DISGUST-FEAR,-11.1584330155453,HH2603,HEAD,DISGUST,FEAR,0.116092338574774,15005,15005,1,1
108.528905946377,97.3685835093759,11.1603224370008,DISGUST-JOY,-11.1603224370008,HH2603,HEAD,DISGUST,JOY,0.149079959852794,15005,15005,1,1
108.528905946377,106.395455213529,2.13345073284728,DISGUST-SAD,-2.13345073284728,HH2603,HEAD,DISGUST,SAD,0.0672465707594513,15005,15005,1,1
97.3704729308315,97.3685835093759,0.00188942145554449,FEAR-JOY,-0.00188942145554449,HH2603,HEAD,FEAR,JOY,0.052124456339913,15005,15005,1,1
97.3704729308315,106.395455213529,-9.02498228269798,FEAR-SAD,9.02498228269798,HH2603,HEAD,FEAR,SAD,0.0511207761793242,15005,15005,1,1
97.3685835093759,106.395455213529,-9.02687170415352,JOY-SAD,9.02687170415352,HH2603,HEAD,JOY,SAD,0.0960187353629977,15005,15005,1,1
75.8890448805674,76.4204594351662,-0.531414554598783,DISGUST-NEUTRAL,-0.531414554598783,HH2603,UPPER_LIMB_L,NEUTRAL,DISGUST,0.0929407828705253,15005,15005,1,1
75.8890448805674,104.407233433518,-28.5181885529504,FEAR-NEUTRAL,-28.5181885529504,HH2603,UPPER_LIMB_L,NEUTRAL,FEAR,0.147875543660087,15005,15005,1,1
75.8890448805674,96.9430261331171,-21.0539812525497,JOY-NEUTRAL,-21.0539812525497,HH2603,UPPER_LIMB_L,NEUTRAL,JOY,0.111809969889595,15005,15005,1,1
75.8890448805674,111.150048790768,-35.2610039102007,NEUTRAL-SAD,35.2610039102007,HH2603,UPPER_LIMB_L,NEUTRAL,SAD,0.162462361993978,15005,15005,1,1
