"sep=,"
Shimmer_40C9_TimestampSync_FormattedUnix_CAL,Shimmer_40C9_GSR_Range_CAL,Shimmer_40C9_GSR_Skin_Conductance_CAL,Shimmer_40C9_GSR_Skin_Resistance_CAL,
yyyy/mm/dd hh:mm:ss.000,no_units,uS,kOhms,
2025/07/10 14:00:50.757,3.0,0.6235986235986235,1603.5955856176577,
2025/07/10 14:00:50.777,3.0,0.6244866244866245,1601.3153217205831,
2025/07/10 14:00:50.796,3.0,0.6258186258186259,1597.9070592408655,
2025/07/10 14:00:50.816,3.0,0.6262626262626263,1596.7741935483868,
2025/07/10 14:00:50.835,3.0,0.6275946275946276,1593.385214007782,
2025/07/10 14:00:50.855,3.0,0.6280386280386281,1592.258748674443,
2025/07/10 14:00:50.874,3.0,0.6289266289266289,1590.0105894811154,
2025/07/10 14:00:50.894,3.0,0.6302586302586303,1586.6502289538569,
2025/07/10 14:00:50.913,3.0,0.6320346320346321,1582.1917808219177,
2025/07/10 14:00:50.933,3.0,0.6324786324786326,1581.081081081081,
2025/07/10 14:00:50.952,3.0,0.6333666333666335,1578.8643533123027,
2025/07/10 14:00:50.972,3.0,0.6338106338106338,1577.7583187390542,
2025/07/10 14:00:50.991,3.0,0.6342546342546342,1576.6538326916345,
2025/07/10 14:00:51.011,3.0,0.6355866355866355,1573.3496332518337,
2025/07/10 14:00:51.031,3.0,0.636030636030636,1572.2513089005236,
2025/07/10 14:00:51.050,3.0,0.6364746364746365,1571.1545169166375,
2025/07/10 14:00:51.070,3.0,0.6378066378066378,1567.8733031674208,
2025/07/10 14:00:51.089,3.0,0.6382506382506383,1566.782608695652,
2025/07/10 14:00:51.109,3.0,0.6386946386946387,1565.6934306569342,
2025/07/10 14:00:51.128,3.0,0.6395826395826395,1563.519611246095,
2025/07/10 14:00:51.148,3.0,0.6395826395826395,1563.519611246095,
2025/07/10 14:00:51.167,3.0,0.64002664002664,1562.4349635796045,
2025/07/10 14:00:51.187,3.0,0.6409146409146409,1560.270176653966,
2025/07/10 14:00:51.206,3.0,0.6413586413586414,1559.1900311526479,
2025/07/10 14:00:51.226,3.0,0.6426906426906427,1555.958549222798,
2025/07/10 14:00:51.245,3.0,0.6440226440226441,1552.7404343329886,
2025/07/10 14:00:51.265,3.0,0.6444666444666445,1551.670685497761,
2025/07/10 14:00:51.284,3.0,0.6449106449106449,1550.6024096385543,
2025/07/10 14:00:51.304,3.0,0.6449106449106449,1550.6024096385543,
2025/07/10 14:00:51.323,3.0,0.6453546453546454,1549.5356037151703,
2025/07/10 14:00:51.343,3.0,0.6484626484626484,1542.1088668264294,
2025/07/10 14:00:51.362,3.0,0.6502386502386502,1537.8968931375896,
2025/07/10 14:00:51.382,3.0,0.6511266511266511,1535.799522673031,
2025/07/10 14:00:51.402,3.0,0.6537906537906538,1529.541595925297,
2025/07/10 14:00:51.421,3.0,0.6546786546786546,1527.4669379450663,
2025/07/10 14:00:51.441,3.0,0.6551226551226551,1526.431718061674,
2025/07/10 14:00:51.460,3.0,0.6551226551226551,1526.431718061674,
2025/07/10 14:00:51.480,3.0,0.6555666555666555,1525.3979004402304,
2025/07/10 14:00:51.499,3.0,0.6560106560106559,1524.3654822335027,
2025/07/10 14:00:51.519,3.0,0.6555666555666555,1525.3979004402304,
2025/07/10 14:00:51.538,3.0,0.6560106560106559,1524.3654822335027,
2025/07/10 14:00:51.558,3.0,0.6560106560106559,1524.3654822335027,
2025/07/10 14:00:51.577,3.0,0.6564546564546564,1523.3344606019616,
2025/07/10 14:00:51.597,3.0,0.6568986568986569,1522.3048327137546,
2025/07/10 14:00:51.616,3.0,0.6568986568986569,1522.3048327137546,
2025/07/10 14:00:51.636,3.0,0.6568986568986569,1522.3048327137546,
2025/07/10 14:00:51.655,3.0,0.6577866577866578,1520.2497468781642,
2025/07/10 14:00:51.675,3.0,0.6573426573426573,1521.276595744681,
2025/07/10 14:00:51.694,3.0,0.6577866577866578,1520.2497468781642,
2025/07/10 14:00:51.714,3.0,0.6573426573426573,1521.276595744681,
2025/07/10 14:00:51.734,3.0,0.6582306582306581,1519.2242833052278,
2025/07/10 14:00:51.753,3.0,0.6586746586746587,1518.2002022244692,
2025/07/10 14:00:51.773,3.0,0.6591186591186591,1517.1775008420345,
2025/07/10 14:00:51.792,3.0,0.6591186591186591,1517.1775008420345,
2025/07/10 14:00:51.812,3.0,0.66000666000666,1515.136226034309,
2025/07/10 14:00:51.831,3.0,0.66000666000666,1515.136226034309,
2025/07/10 14:00:51.851,3.0,0.6604506604506605,1514.1176470588236,
2025/07/10 14:00:51.870,3.0,0.66000666000666,1515.136226034309,
2025/07/10 14:00:51.890,3.0,0.6604506604506605,1514.1176470588236,
2025/07/10 14:00:51.909,3.0,0.6613386613386613,1512.0845921450152,
2025/07/10 14:00:51.929,3.0,0.6613386613386613,1512.0845921450152,
2025/07/10 14:00:51.948,3.0,0.6617826617826618,1511.070110701107,
2025/07/10 14:00:51.968,3.0,0.6622266622266622,1510.0569896077775,
2025/07/10 14:00:51.987,3.0,0.6622266622266622,1510.0569896077775,
2025/07/10 14:00:52.007,3.0,0.6626706626706625,1509.0452261306534,
2025/07/10 14:00:52.026,3.0,0.6631146631146633,1508.0348175426848,
2025/07/10 14:00:52.046,3.0,0.6635586635586636,1507.0257611241216,
2025/07/10 14:00:52.066,3.0,0.6640026640026641,1506.0180541624873,
2025/07/10 14:00:52.085,3.0,0.6635586635586636,1507.0257611241216,
2025/07/10 14:00:52.105,3.0,0.6640026640026641,1506.0180541624873,
2025/07/10 14:00:52.124,3.0,0.664890664890665,1504.006677796327,
2025/07/10 14:00:52.144,3.0,0.664890664890665,1504.006677796327,
2025/07/10 14:00:52.163,3.0,0.6653346653346653,1503.003003003003,
2025/07/10 14:00:52.183,3.0,0.6662226662226662,1500.9996667777407,
2025/07/10 14:00:52.202,3.0,0.6671106671106671,1499.0016638935108,
2025/07/10 14:00:52.222,3.0,0.6675546675546676,1498.0046558031258,
2025/07/10 14:00:52.241,3.0,0.6675546675546676,1498.0046558031258,
2025/07/10 14:00:52.261,3.0,0.6684426684426685,1496.0146130853536,
2025/07/10 14:00:52.280,3.0,0.6693306693306694,1494.0298507462685,
2025/07/10 14:00:52.300,3.0,0.6693306693306694,1494.0298507462685,
2025/07/10 14:00:52.319,3.0,0.6693306693306694,1494.0298507462685,
2025/07/10 14:00:52.339,3.0,0.6697746697746698,1493.0394431554523,
2025/07/10 14:00:52.358,3.0,0.6702186702186702,1492.0503477972838,
2025/07/10 14:00:52.378,3.0,0.6706626706626706,1491.0625620655412,
2025/07/10 14:00:52.398,3.0,0.6711066711066711,1490.0760833608997,
2025/07/10 14:00:52.417,3.0,0.671994671994672,1488.1070366699703,
2025/07/10 14:00:52.437,3.0,0.6728826728826729,1486.1431870669746,
2025/07/10 14:00:52.456,3.0,0.6728826728826729,1486.1431870669746,
2025/07/10 14:00:52.476,3.0,0.6737706737706738,1484.184514003295,
2025/07/10 14:00:52.495,3.0,0.6746586746586747,1482.2309970384995,
2025/07/10 14:00:52.515,3.0,0.6755466755466756,1480.282615839632,
2025/07/10 14:00:52.534,3.0,0.6764346764346765,1478.3393501805053,
2025/07/10 14:00:52.554,3.0,0.6764346764346765,1478.3393501805053,
2025/07/10 14:00:52.573,3.0,0.6768786768786769,1477.3696293866842,
2025/07/10 14:00:52.593,3.0,0.6773226773226773,1476.401179941003,
2025/07/10 14:00:52.612,3.0,0.6777666777666778,1475.4339993449066,
2025/07/10 14:00:52.632,3.0,0.6777666777666778,1475.4339993449066,
