participantID,seq,exp,nSamples,medianVal,maxVal
13-9UOF,20,5,1904,170.297948987091,291.963695841091
13-9UOF,21,11,1905,157.306850716019,268.704624275863
13-9UOF,22,33,1906,163.304544869834,271.290312067814
13-9UOF,23,1,1905,160.213696349072,252.225612271737
13-9UOF,24,24,1906,160.696003100867,283.780440972591
13-9UOF,25,26,1905,166.76759273439,297.509101325692
13-9UOF,26,34,1905,155.965093869775,298.395974832631
13-9UOF,27,3,1905,50.7203916351238,331.37430645042
13-9UOF,28,4,1904,156.478689754205,254.859219603893
13-9UOF,29,38,1904,156.944196606588,237.709898056111
13-9UOF,30,17,1907,164.065123382261,292.639081516128
13-9UOF,31,22,1905,156.941296269241,304.434562242861
13-9UOF,32,14,1907,174.926820726317,275.504143129188
13-9UOF,33,25,1905,170.232421082353,283.064615807411
13-9UOF,34,28,1905,145.853889461649,293.378890558091
13-9UOF,35,8,1904,34.6670164503372,65.8395374691818
13-9UOF,36,21,1906,191.222367906127,311.811909846413
13-9UOF,37,27,1906,162.468061672361,296.344629651638
13-9UOF,38,9,1904,184.548839581548,262.471736701972
14-9UP0,1,6,1907,202.292891533193,283.671898051497
14-9UP0,2,31,1905,230.359874145438,327.561770404634
14-9UP0,3,23,1906,223.360292356805,338.226896945647
14-9UP0,4,14,1905,240.429125558246,358.03207220356
14-9UP0,5,34,1905,253.221876476655,340.662580106658
14-9UP0,6,37,1904,259.351346152265,321.982882792812
14-9UP0,7,36,1904,248.100895799958,343.883267633264
14-9UP0,8,1,1905,223.163968622194,313.706807540738
14-9UP0,9,24,1906,233.969964254435,325.816323128222
14-9UP0,10,22,1905,221.042315629544,285.966535431191
14-9UP0,11,8,1905,232.600920223882,306.587018139167
14-9UP0,12,17,1904,229.512443702689,304.726307990795
14-9UP0,13,25,1904,228.44132488333,325.226474691424
14-9UP0,14,27,1903,230.483150890048,325.803219221488
14-9UP0,15,28,1906,237.328455517971,327.360988054935
14-9UP0,16,30,1905,230.891296939539,302.611785991063
14-9UP0,17,32,1906,249.088976172911,364.28290409744
