participantID,seq,exp,preDynamicMedian,walkDynamicMedian,walkRawMedian,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
01-9TZK,1,7,23.4607881000601,168.815367271247,979.726256787976,1,0.671191553544495,6.4,6.6,7.7,6.5,3
01-9TZK,2,4,24.0348847829214,177.365939318407,976.609888003928,1,0.648708487084871,5,4,3,3.1,4
01-9TZK,3,40,24.627965920429,160.096930912422,979.170495097776,1,0.697386519944979,3,5.6,3.1,1,1
01-9TZK,4,17,23.402482229921,193.106842018243,984.787763225033,1,0.632848392036753,3,2.7,2.9,1,1
01-9TZK,5,23,25.8834163599287,178.506750112582,981.021830642038,1,0.703034682080925,1,4,5,1,1
01-9TZK,6,2,24.7018004169323,180.586766593318,981.909231846226,1,0.688094332445797,1.7,6.1,6.4,1,2
01-9TZK,7,32,22.8722847920701,198.620788423713,985.119359525258,1,0.692104268983755,2.4,6.2,5.8,1,1
01-9TZK,8,14,24.1317912351252,163.53932072817,991.032516755604,1,0.226200873362445,8.9,2.7,2.6,7.8,5
01-9TZK,9,18,24.0242245458964,156.707529278465,980.947844305295,1,0.599763872491145,5.9,4.2,2.4,5,4
01-9TZK,10,25,24.7754536755003,169.717333086004,985.229864988446,1,0.62019801980198,3.8,3.7,3.2,4.4,1
01-9TZK,11,13,24.1671528874904,144.542873048226,978.058011691682,1,0.621621621621622,7,2.8,2.1,5,1
01-9TZK,12,1,24.627965269636,168.374745932095,983.201922206663,1,0.73838630806846,7.5,6.7,6.1,8.8,5
01-9TZK,13,39,23.6083340754361,163.464117746097,981.391678659189,1,0.680665909950813,1,8.2,8.3,1,1
01-9TZK,14,6,22.5451548595266,162.561069407135,983.607846355943,1,0.696921231507397,6.7,4.7,6.1,6.9,2
01-9TZK,15,20,24.2189182002492,172.907307960581,983.09118741327,1,0.539904229848364,9,7.5,7.1,9,5
01-9TZK,16,36,23.8983117969161,149.767114099339,978.948099555271,1,0.60459940652819,2,6.5,6,1,1
01-9TZK,17,9,22.9021324166799,166.151010093061,979.615134715833,1,0.600987248046072,6.9,4.8,5.8,7.4,4
01-9TZK,18,37,24.4376899213964,182.080419901301,983.607846355943,1,0.670794192997438,1,6.6,6.8,1.2,1
01-9TZK,19,27,23.692576511353,168.578825859432,977.018525556698,1,0.656034482758621,5.3,2.8,2.1,5.2,2
01-9TZK,20,3,24.9380527805726,182.172778975941,981.983134622219,1,0.645189761694616,7.6,4.8,6.6,8.4,5
