motionMetric,ratingMetric,nRows,pearson_r,pearson_p,spearman_rho,spearman_p,withinSubject_r,withinSubject_p
preDynamicMedian,valence,1776,-0.02522177132675,0.288084975952895,-0.0267158073563703,0.260469493693272,-0.0216322804126889,0.362239721856666
preDynamicMedian,dominance,1776,0.0185684048718449,0.434192466540327,0.00946473043374966,0.690190473070345,-0.0326145966781507,0.169484476087194
walkDynamicMedian,valence,1776,0.0830322518841038,0.000460425399366427,0.0783043571018707,0.000957591056163207,0.0415807666649946,0.079800267440668
walkDynamicMedian,dominance,1776,0.0531798577570032,0.0250165991952094,0.0576500109632566,0.0151057957416325,-0.0307023012073421,0.195917981330094
