motionMetric,ratingMetric,nClips,pearson_r,pearson_p,spearman_rho,spearman_p
mean_preDynamicMedian,mean_valence,38,-0.0491228113524472,0.76961796176048,-0.0169602801181749,0.919612611214466
mean_preDynamicMedian,mean_dominance,38,-0.309228239937324,0.0588745699727174,-0.191377612430244,0.248750969084463
mean_walkDynamicMedian,mean_valence,38,0.181056723280533,0.27666283785395,0.186344238975818,0.261595887381618
mean_walkDynamicMedian,mean_dominance,38,-0.113323639256903,0.498136204475663,0.0458474669000985,0.78406765872679
