normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
absolute,RC2602,WRIST_R,5,0.9
absolute,RC2602,LTORSO,5,1
absolute,SC0401,UTORSO,5,0.9
absolute,SC0401,HEAD,5,0.9
absolute,SC0401,UPPER_LIMB_L,5,0.7
absolute,SC0401,UPPER_LIMB_R,5,0.6
absolute,SC0401,LOWER_LIMB_L,5,0.9
absolute,SC0401,LOWER_LIMB_R,5,0.9
absolute,SC0401,WRIST_L,5,0.7
absolute,SC0401,WRIST_R,5,0.9
absolute,SC0401,LTORSO,5,0.6
absolute,SC3001,UTORSO,5,0.3
absolute,SC3001,HEAD,5,0.4
absolute,SC3001,UPPER_LIMB_L,5,0.4
absolute,SC3001,UPPER_LIMB_R,5,0.3
absolute,SC3001,LOWER_LIMB_L,5,0.5
absolute,SC3001,LOWER_LIMB_R,5,0.8
absolute,SC3001,WRIST_L,5,0.4
absolute,SC3001,WRIST_R,5,0.2
absolute,SC3001,LTORSO,5,0.4
absolute,SK0702,UTORSO,5,0.9
absolute,SK0702,HEAD,5,0.8
absolute,SK0702,UPPER_LIMB_L,5,0.9
absolute,SK0702,UPPER_LIMB_R,5,0.8
absolute,SK0702,LOWER_LIMB_L,5,0.8
absolute,SK0702,LOWER_LIMB_R,5,0.8
absolute,SK0702,WRIST_L,5,0.9
absolute,SK0702,WRIST_R,5,0.8
absolute,SK0702,LTORSO,5,0.8
absolute,XB0202,UTORSO,5,0.9
absolute,XB0202,HEAD,5,1
absolute,XB0202,UPPER_LIMB_L,5,0.7
absolute,XB0202,UPPER_LIMB_R,5,1
absolute,XB0202,LOWER_LIMB_L,5,1
absolute,XB0202,LOWER_LIMB_R,5,0.9
absolute,XB0202,WRIST_L,5,0.7
absolute,XB0202,WRIST_R,5,0.6
absolute,XB0202,LTORSO,5,1
absolute,XB0300,UTORSO,5,0.3
absolute,XB0300,HEAD,5,1
absolute,XB0300,UPPER_LIMB_L,5,0.3
absolute,XB0300,UPPER_LIMB_R,5,0.3
absolute,XB0300,LOWER_LIMB_L,5,0.7
absolute,XB0300,LOWER_LIMB_R,5,0.9
absolute,XB0300,WRIST_L,5,0.3
absolute,XB0300,WRIST_R,5,0.3
absolute,XB0300,LTORSO,5,0.3
absolute,XC3002,UTORSO,5,0.8
absolute,XC3002,HEAD,5,0.3
absolute,XC3002,UPPER_LIMB_L,5,0.7
absolute,XC3002,UPPER_LIMB_R,5,0.9
absolute,XC3002,LOWER_LIMB_L,5,0.8
absolute,XC3002,LOWER_LIMB_R,5,0.9
absolute,XC3002,WRIST_L,5,0.3
absolute,XC3002,WRIST_R,5,0.9
absolute,XC3002,LTORSO,5,0.9
absolute,XJ1802,UTORSO,5,0.7
absolute,XJ1802,HEAD,5,0.5
absolute,XJ1802,UPPER_LIMB_L,5,0.5
absolute,XJ1802,UPPER_LIMB_R,5,0.9
absolute,XJ1802,LOWER_LIMB_L,5,0.7
absolute,XJ1802,LOWER_LIMB_R,5,0.4
absolute,XJ1802,WRIST_L,5,0.5
absolute,XJ1802,WRIST_R,5,0.7
absolute,XJ1802,LTORSO,5,0.6
absolute,XM2301,UTORSO,5,1
absolute,XM2301,HEAD,5,0.7
absolute,XM2301,UPPER_LIMB_L,5,1
absolute,XM2301,UPPER_LIMB_R,5,1
absolute,XM2301,LOWER_LIMB_L,5,1
absolute,XM2301,LOWER_LIMB_R,5,1
absolute,XM2301,WRIST_L,5,1
absolute,XM2301,WRIST_R,5,0.9
absolute,XM2301,LTORSO,5,1
absolute,XM3001,UTORSO,5,1
absolute,XM3001,HEAD,5,1
absolute,XM3001,UPPER_LIMB_L,5,1
absolute,XM3001,UPPER_LIMB_R,5,1
absolute,XM3001,LOWER_LIMB_L,5,0.9
absolute,XM3001,LOWER_LIMB_R,5,0.9
absolute,XM3001,WRIST_L,5,1
absolute,XM3001,WRIST_R,5,1
absolute,XM3001,LTORSO,5,1
absolute,XP1500,UTORSO,5,0.9
absolute,XP1500,HEAD,5,0.9
