normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,KN9309,LOWER_LIMB_R,DISGUST,19.6497202216458,11.7243727270723
absolute,KN9309,LOWER_LIMB_R,FEAR,11.708394446439,4.33645024187155
absolute,KN9309,LOWER_LIMB_R,JOY,25.474022640646,13.1168120665658
absolute,KN9309,LOWER_LIMB_R,SAD,30.8061551395175,4.35562638179738
absolute,KN9309,WRIST_L,NEUTRAL,118.728501513566,28.0600578145035
absolute,KN9309,WRIST_L,DISGUST,83.9420605620872,21.1967415160336
absolute,KN9309,WRIST_L,FEAR,42.6715493987121,11.741730411237
absolute,KN9309,WRIST_L,JOY,120.961093589388,25.9899941752624
absolute,KN9309,WRIST_L,SAD,100.094039448511,11.0348945970116
absolute,KN9309,WRIST_R,NEUTRAL,117.953549090909,23.6785050793885
absolute,KN9309,WRIST_R,DISGUST,72.1059399756175,20.8595549966855
absolute,KN9309,WRIST_R,FEAR,38.614497934992,9.38592417938048
absolute,KN9309,WRIST_R,JOY,99.6061084242573,25.200266333045
absolute,KN9309,WRIST_R,SAD,106.859151749917,9.93840617594586
absolute,KN9309,LTORSO,NEUTRAL,82.863207164678,21.6628999836067
absolute,KN9309,LTORSO,DISGUST,63.349699928523,23.1172751877377
absolute,KN9309,LTORSO,FEAR,34.9578731431475,10.4190475430735
absolute,KN9309,LTORSO,JOY,87.5642429757254,23.0006074974434
absolute,KN9309,LTORSO,SAD,88.7179674370226,9.21458622333532
absolute,XJ1505,UTORSO,NEUTRAL,95.7995446374192,18.0508570917059
absolute,XJ1505,UTORSO,DISGUST,29.9711899631742,15.0594411877855
absolute,XJ1505,UTORSO,FEAR,47.2739829554472,18.2503953567901
absolute,XJ1505,UTORSO,JOY,82.1180258676029,23.4858811504376
absolute,XJ1505,UTORSO,SAD,81.6896242351713,19.7972142258583
absolute,XJ1505,HEAD,NEUTRAL,113.375600376779,17.7152050009705
absolute,XJ1505,HEAD,DISGUST,38.1948466304685,14.2921865229027
absolute,XJ1505,HEAD,FEAR,51.7975527284264,19.2220057840926
absolute,XJ1505,HEAD,JOY,94.7139646708203,22.7952438098034
absolute,XJ1505,HEAD,SAD,83.9553681837446,20.1680131819491
absolute,XJ1505,UPPER_LIMB_L,NEUTRAL,111.082034823182,20.2952048397279
absolute,XJ1505,UPPER_LIMB_L,DISGUST,36.2252561458713,14.2959905730834
absolute,XJ1505,UPPER_LIMB_L,FEAR,56.2702783864911,18.3647119253415
absolute,XJ1505,UPPER_LIMB_L,JOY,112.017867302354,25.1104888221489
absolute,XJ1505,UPPER_LIMB_L,SAD,119.995342565874,21.2386443003467
absolute,XJ1505,UPPER_LIMB_R,NEUTRAL,117.084448962107,18.1836093815857
absolute,XJ1505,UPPER_LIMB_R,DISGUST,31.7143477176058,16.2789967293644
absolute,XJ1505,UPPER_LIMB_R,FEAR,56.1055963531357,19.1715792843579
absolute,XJ1505,UPPER_LIMB_R,JOY,113.135112297833,25.1196775270573
absolute,XJ1505,UPPER_LIMB_R,SAD,106.430792872395,21.1580054867367
absolute,XJ1505,LOWER_LIMB_L,NEUTRAL,42.7754927611341,11.0110011801448
absolute,XJ1505,LOWER_LIMB_L,DISGUST,11.2749702728596,8.12062474420596
absolute,XJ1505,LOWER_LIMB_L,FEAR,18.949854137025,9.6779089967984
absolute,XJ1505,LOWER_LIMB_L,JOY,34.6547021100826,15.2967218092058
absolute,XJ1505,LOWER_LIMB_L,SAD,33.5083878747686,14.1979478369802
absolute,XJ1505,LOWER_LIMB_R,NEUTRAL,33.1805407312308,9.04059519903416
absolute,XJ1505,LOWER_LIMB_R,DISGUST,7.55812498769441,5.66901818408307
absolute,XJ1505,LOWER_LIMB_R,FEAR,14.5680389510703,8.08980437196176
absolute,XJ1505,LOWER_LIMB_R,JOY,24.50267777396,12.1573384659255
absolute,XJ1505,LOWER_LIMB_R,SAD,26.5062097625934,10.3317960716113
absolute,XJ1505,WRIST_L,NEUTRAL,118.766979151862,23.6698617550285
absolute,XJ1505,WRIST_L,DISGUST,38.2387765252592,14.2832820944021
absolute,XJ1505,WRIST_L,FEAR,60.3858199242584,19.6905057191887
absolute,XJ1505,WRIST_L,JOY,128.95725125315,29.667274540184
absolute,XJ1505,WRIST_L,SAD,141.773717861792,23.637240074673
absolute,XJ1505,WRIST_R,NEUTRAL,132.70963911308,19.3719368114562
absolute,XJ1505,WRIST_R,DISGUST,33.2934759398326,16.6795971459138
absolute,XJ1505,WRIST_R,FEAR,64.8966966760183,17.6698488706301
absolute,XJ1505,WRIST_R,JOY,130.86886972253,25.5421072926762
absolute,XJ1505,WRIST_R,SAD,122.985363719534,18.760975385701
absolute,XJ1505,LTORSO,NEUTRAL,107.975641609857,18.3073291665055
absolute,XJ1505,LTORSO,DISGUST,35.3543485330395,14.3791218997147
absolute,XJ1505,LTORSO,FEAR,55.2274693500342,17.9265711213178
absolute,XJ1505,LTORSO,JOY,96.5716724362167,25.430942269081
absolute,XJ1505,LTORSO,SAD,94.942684826049,25.0478827995293
absolute,AC1602,UTORSO,NEUTRAL,14.7193797931847,9.54360538872267
absolute,AC1602,UTORSO,DISGUST,27.762323250006,16.3004890259301
absolute,AC1602,UTORSO,FEAR,7.93262480300677,6.95207799145342
absolute,AC1602,UTORSO,JOY,42.7676090851809,11.3363033662041
absolute,AC1602,UTORSO,SAD,41.5623718016299,15.3663246679414
absolute,AC1602,HEAD,NEUTRAL,23.9273282560498,11.1129226748818
absolute,AC1602,HEAD,DISGUST,53.4918555570812,21.5544479054894
absolute,AC1602,HEAD,FEAR,17.4562818595513,11.5464479364098
absolute,AC1602,HEAD,JOY,60.9630289046272,14.6397332852266
absolute,AC1602,HEAD,SAD,61.4137406581408,17.6182040987954
absolute,AC1602,UPPER_LIMB_L,NEUTRAL,16.1726025823146,9.72591082077453
absolute,AC1602,UPPER_LIMB_L,DISGUST,36.4409358976196,17.8413074864179
absolute,AC1602,UPPER_LIMB_L,FEAR,8.2327461912854,7.08635131071764
absolute,AC1602,UPPER_LIMB_L,JOY,49.4780361998192,10.1660162327856
absolute,AC1602,UPPER_LIMB_L,SAD,55.3731613733865,16.5880884457665
absolute,AC1602,UPPER_LIMB_R,NEUTRAL,13.1080221712323,7.32943658399705
absolute,AC1602,UPPER_LIMB_R,DISGUST,26.8830446765208,14.913318942019
absolute,AC1602,UPPER_LIMB_R,FEAR,8.1754541723582,7.01049612828808
absolute,AC1602,UPPER_LIMB_R,JOY,41.0243628204307,10.9185491844331
absolute,AC1602,UPPER_LIMB_R,SAD,48.316491369469,14.4010744285289
absolute,AC1602,LOWER_LIMB_L,NEUTRAL,5.95761643270594,4.09275294898267
absolute,AC1602,LOWER_LIMB_L,DISGUST,12.4367876671524,7.39119373378283
absolute,AC1602,LOWER_LIMB_L,FEAR,2.83804521382182,2.66901312611081
absolute,AC1602,LOWER_LIMB_L,JOY,20.8943940611964,6.11584225678799
absolute,AC1602,LOWER_LIMB_L,SAD,17.2453540637475,7.36837678609735
absolute,AC1602,LOWER_LIMB_R,NEUTRAL,4.14113595746062,2.99366066072317
absolute,AC1602,LOWER_LIMB_R,DISGUST,9.17998126895631,5.76992998812688
absolute,AC1602,LOWER_LIMB_R,FEAR,2.13128103000016,2.02826518690114
absolute,AC1602,LOWER_LIMB_R,JOY,12.9289014554147,4.73001409726837
absolute,AC1602,LOWER_LIMB_R,SAD,9.7198499453638,4.9413713660983
absolute,AC1602,WRIST_L,NEUTRAL,17.2321949505798,9.11369055680587
absolute,AC1602,WRIST_L,DISGUST,37.1316044132853,17.8380781611537
absolute,AC1602,WRIST_L,FEAR,8.08631218899338,6.83981831545214
absolute,AC1602,WRIST_L,JOY,48.2888313622781,10.723002385909
absolute,AC1602,WRIST_L,SAD,62.5473090452975,18.1764162044245
absolute,AC1602,WRIST_R,NEUTRAL,13.0683277650309,6.81475484339762
absolute,AC1602,WRIST_R,DISGUST,28.3482354521124,14.211797506818
absolute,AC1602,WRIST_R,FEAR,8.72745765245197,7.07825181594277
absolute,AC1602,WRIST_R,JOY,45.4811104488234,10.5746648429114
absolute,AC1602,WRIST_R,SAD,56.2826440943325,13.5185144172023
absolute,AC1602,LTORSO,NEUTRAL,12.9929956485844,7.90937509170971
absolute,AC1602,LTORSO,DISGUST,28.1392758943,14.9418088127932
absolute,AC1602,LTORSO,FEAR,6.44187648742604,5.60864266176083
absolute,AC1602,LTORSO,JOY,43.5802795943665,9.5841372963104
absolute,AC1602,LTORSO,SAD,47.5898239452189,13.7507644950332
absolute,AK1703,UTORSO,NEUTRAL,25.6627641827883,15.0283580033381
absolute,AK1703,UTORSO,DISGUST,45.9107210543678,21.6028665946422
absolute,AK1703,UTORSO,FEAR,29.8151060317451,14.7419794436526
absolute,AK1703,UTORSO,JOY,42.1827048140718,16.9687832307869
absolute,AK1703,UTORSO,SAD,22.4788617768524,11.7521233217925
absolute,AK1703,HEAD,NEUTRAL,27.3325332446709,17.5254300674619
