normalization,subjectID,markerGroup,pairLabel,comparable,deltaFull,deltaMicro,signFlip
absolute,HH2603,LOWER_LIMB_R,DISGUST-FEAR,1,9.72846168907689,-0.532102875022947,1
absolute,HH2603,LOWER_LIMB_R,DISGUST-JOY,1,1.07552791472894,-1.51179075298305,1
absolute,HH2603,LOWER_LIMB_R,DISGUST-SAD,1,12.1053001251217,0.936108929926203,0
absolute,HH2603,LOWER_LIMB_R,FEAR-JOY,1,-8.65293377434795,-0.979687877960107,0
absolute,HH2603,LOWER_LIMB_R,FEAR-SAD,1,2.37683843604484,1.46821180494915,0
absolute,HH2603,LOWER_LIMB_R,JOY-SAD,1,11.0297722103928,2.44789968290926,0
absolute,HH2603,WRIST_L,NEUTRAL-DISGUST,1,-13.9092786148131,2.67945955656324,1
absolute,HH2603,WRIST_L,NEUTRAL-FEAR,1,23.3545202593597,-1.4424105291379,1
absolute,HH2603,WRIST_L,NEUTRAL-JOY,1,23.0698695703037,2.42518511248043,0
absolute,HH2603,WRIST_L,NEUTRAL-SAD,1,31.7887414675173,1.62058210757213,0
absolute,HH2603,WRIST_L,DISGUST-FEAR,1,37.2637988741728,-4.12187008570115,1
absolute,HH2603,WRIST_L,DISGUST-JOY,1,36.9791481851167,-0.254274444082817,1
absolute,HH2603,WRIST_L,DISGUST-SAD,1,45.6980200823303,-1.05887744899112,1
absolute,HH2603,WRIST_L,FEAR-JOY,1,-0.284650689056079,3.86759564161833,1
absolute,HH2603,WRIST_L,FEAR-SAD,1,8.43422120815754,3.06299263671003,0
absolute,HH2603,WRIST_L,JOY-SAD,1,8.71887189721362,-0.804603004908302,1
absolute,HH2603,WRIST_R,NEUTRAL-DISGUST,1,-1.56481260945175,6.80239151489704,1
absolute,HH2603,WRIST_R,NEUTRAL-FEAR,1,32.6588816590465,-1.32460673924265,1
absolute,HH2603,WRIST_R,NEUTRAL-JOY,1,13.35531997828,3.38623539123164,0
absolute,HH2603,WRIST_R,NEUTRAL-SAD,1,51.4236721783402,8.07007082185677,0
absolute,HH2603,WRIST_R,DISGUST-FEAR,1,34.2236942684983,-8.12699825413969,1
absolute,HH2603,WRIST_R,DISGUST-JOY,1,14.9201325877318,-3.4161561236654,1
absolute,HH2603,WRIST_R,DISGUST-SAD,1,52.988484787792,1.26767930695974,0
absolute,HH2603,WRIST_R,FEAR-JOY,1,-19.3035616807665,4.71084213047429,1
absolute,HH2603,WRIST_R,FEAR-SAD,1,18.7647905192937,9.39467756109942,0
absolute,HH2603,WRIST_R,JOY-SAD,1,38.0683522000602,4.68383543062513,0
absolute,HH2603,LTORSO,NEUTRAL-DISGUST,1,0.61884683901657,8.58611113392239,0
