normalization,markerGroup,pairLabel,method,nIncluded,nTotal,flipFraction
absolute,WRIST_L,NEUTRAL-JOY,bootstrap_ci,27,27,0.222222222222222
absolute,WRIST_L,NEUTRAL-SAD,reference,27,27,0.296296296296296
absolute,WRIST_L,NEUTRAL-SAD,deadzone,27,27,0.296296296296296
absolute,WRIST_L,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-JOY,reference,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-JOY,deadzone,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-JOY,bootstrap_ci,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-SAD,reference,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-SAD,deadzone,27,27,0.296296296296296
absolute,WRIST_L,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,WRIST_L,JOY-SAD,reference,27,27,0.37037037037037
absolute,WRIST_L,JOY-SAD,deadzone,25,27,0.32
absolute,WRIST_L,JOY-SAD,bootstrap_ci,27,27,0.37037037037037
absolute,WRIST_R,NEUTRAL-DISGUST,reference,27,27,0.185185185185185
absolute,WRIST_R,NEUTRAL-DISGUST,deadzone,27,27,0.185185185185185
absolute,WRIST_R,NEUTRAL-DISGUST,bootstrap_ci,27,27,0.185185185185185
absolute,WRIST_R,NEUTRAL-JOY,reference,27,27,0.259259259259259
absolute,WRIST_R,NEUTRAL-JOY,deadzone,25,27,0.28
absolute,WRIST_R,NEUTRAL-JOY,bootstrap_ci,27,27,0.259259259259259
absolute,WRIST_R,NEUTRAL-SAD,reference,27,27,0.296296296296296
absolute,WRIST_R,NEUTRAL-SAD,deadzone,25,27,0.28
absolute,WRIST_R,NEUTRAL-SAD,bootstrap_ci,26,27,0.269230769230769
absolute,WRIST_R,DISGUST-JOY,reference,27,27,0.259259259259259
absolute,WRIST_R,DISGUST-JOY,deadzone,27,27,0.259259259259259
absolute,WRIST_R,DISGUST-JOY,bootstrap_ci,27,27,0.259259259259259
absolute,WRIST_R,DISGUST-SAD,reference,27,27,0.296296296296296
absolute,WRIST_R,DISGUST-SAD,deadzone,27,27,0.296296296296296
absolute,WRIST_R,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,WRIST_R,JOY-SAD,reference,27,27,0.222222222222222
absolute,WRIST_R,JOY-SAD,deadzone,27,27,0.222222222222222
absolute,WRIST_R,JOY-SAD,bootstrap_ci,27,27,0.222222222222222
absolute,LTORSO,NEUTRAL-DISGUST,reference,27,27,0.259259259259259
absolute,LTORSO,NEUTRAL-DISGUST,deadzone,24,27,0.291666666666667
absolute,LTORSO,NEUTRAL-DISGUST,bootstrap_ci,26,27,0.269230769230769
absolute,LTORSO,NEUTRAL-JOY,reference,27,27,0.222222222222222
absolute,LTORSO,NEUTRAL-JOY,deadzone,25,27,0.2
absolute,LTORSO,NEUTRAL-JOY,bootstrap_ci,27,27,0.222222222222222
absolute,LTORSO,NEUTRAL-SAD,reference,27,27,0.296296296296296
absolute,LTORSO,NEUTRAL-SAD,deadzone,27,27,0.296296296296296
absolute,LTORSO,NEUTRAL-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,LTORSO,DISGUST-JOY,reference,27,27,0.111111111111111
absolute,LTORSO,DISGUST-JOY,deadzone,25,27,0.12
absolute,LTORSO,DISGUST-JOY,bootstrap_ci,27,27,0.111111111111111
absolute,LTORSO,DISGUST-SAD,reference,27,27,0.296296296296296
absolute,LTORSO,DISGUST-SAD,deadzone,26,27,0.269230769230769
absolute,LTORSO,DISGUST-SAD,bootstrap_ci,27,27,0.296296296296296
absolute,LTORSO,JOY-SAD,reference,27,27,0.296296296296296
