participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
02-9TZO,38,7,23.2744289469111,1,6385,7.9,6.1,5.9,8.3,5
03-9U4C,1,6,23.9161699344176,0.992286331379204,6482,8.9,4.8,7.1,9,1
03-9U4C,2,21,23.851818172139,1,6731,1,2.6,3.2,1,1
03-9U4C,3,34,24.1801049491811,0.997748761819,6663,2.9,7.5,7.8,9,2
03-9U4C,4,38,24.0727500430604,0.996158343076666,5987,3.2,7.7,8.1,9,1
03-9U4C,5,2,24.8545960959133,0.96551724137931,6409,8.1,5,5.9,8.9,1
03-9U4C,6,31,22.8523667507066,0.979010025062657,6384,2.1,7.1,3.3,9,1
03-9U4C,7,12,22.8673078224242,0.987938766042987,6467,5,5,1.8,5,1
03-9U4C,8,1,24.820217459749,0.940161641280696,6434,5,5,1,1,1
03-9U4C,9,32,24.4737751753112,0.974270473799812,6374,4.1,6.7,6.3,8.9,1
03-9U4C,10,23,19.1794122541363,0.982458839821511,6499,1.9,5,1,1,1
03-9U4C,11,25,23.0013407321361,0.975650842266462,6530,4.2,5,1.1,1,1
03-9U4C,12,40,24.0963855421687,0.912053571428571,6720,7,6.7,7,9,1
03-9U4C,13,13,24.1046524627297,0.973015130244892,6411,3.5,5,1,1,1
03-9U4C,14,17,21.7234642059013,0.885492479378942,6183,1.8,5,1,1,1
03-9U4C,15,26,22.3842475207686,0.877518130539887,6205,5.4,5,1,5,1
03-9U4C,16,20,22.6597485442312,0.931942919868277,6377,7,5,4,9,1
03-9U4C,17,14,20.9741985123673,0.965624032208114,6458,5,5,3,5,1
03-9U4C,18,7,24.4458476935915,0.939640344018765,6395,6.6,6.2,6.8,9,4
03-9U4C,19,11,20.8680820189021,0.961061123177164,6446,7.2,5,3.6,9,1
03-9U4C,20,28,18.698498052929,0.948233106013639,6452,2.4,5,2.2,1,1
03-9U4C,21,15,24.1152772624694,0.96873548986225,6461,7.1,4.6,5.4,8.9,1
03-9U4C,22,8,24.2635355478369,0.993359073359073,6475,3.5,5,2.2,1,1
03-9U4C,23,9,23.7381832974551,0.947694212318168,6462,6.2,5,5,8.9,1
03-9U4C,24,36,23.2499578761692,0.982366589327146,6465,3.2,6.5,6.2,9,3
03-9U4C,25,39,23.2132029005453,0.955789148245478,6469,2.9,7.9,7.6,9,1
03-9U4C,26,29,24.6268102204772,0.924372320881813,6532,3.8,5,2.1,1,1
03-9U4C,27,24,24.8523056663737,0.883638928067701,5672,2.4,5,2.6,1,1
