exp,GroupCount,mean_clipDynamicMedian,mean_valence,mean_dominance
1,47,23.0144653211253,6.58936170212766,6.06808510638298
2,47,22.7082816520814,5.92765957446809,5.87659574468085
3,46,23.1076006193002,6.96086956521739,5.69782608695652
4,48,22.8913918546032,6.78333333333333,6.14583333333333
5,45,23.1388653953714,6.38222222222222,5.87333333333333
6,47,22.3390440803741,6.52765957446808,5.6
7,47,22.2187756031543,6.15744680851064,5.83191489361702
8,47,22.7923353953068,6.92340425531915,5.5063829787234
9,47,23.0208700301285,7.26808510638298,5.70212765957447
10,46,22.936503288024,4.82173913043478,5.71739130434783
11,47,22.7229839674551,7.45744680851064,5.62340425531915
12,46,22.6268627479989,7.04565217391304,6.0304347826087
13,47,22.6574695170004,6.58723404255319,5.58085106382979
14,47,23.0392904903976,7.1936170212766,5.79787234042553
15,46,22.6861202598758,6.14782608695652,6.2695652173913
17,47,22.5224976126451,5.22978723404255,6.68510638297872
18,46,22.3812829981044,7.31521739130435,5.8695652173913
19,46,22.8008739567278,7.15434782608696,6.18913043478261
20,47,22.2327338917433,7.28297872340426,5.88085106382979
21,47,22.4030544783855,3.86382978723404,5.88723404255319
22,46,22.7383999625831,5.1304347826087,6.10434782608696
23,47,22.9339400033789,3.42765957446809,5.72553191489362
24,47,22.6474771013367,3.93404255319149,5.3531914893617
25,47,22.9811556222791,4.91914893617021,6.06170212765957
26,47,22.1408331353863,5.24893617021277,6.46382978723404
27,48,22.3958899764349,5.7625,6.26875
28,46,22.7337871512955,4.2,5.75869565217391
29,47,22.4451763413627,4.5063829787234,5.46808510638298
30,48,22.3183977785063,3.22708333333333,4.89791666666667
31,47,22.3154370884151,3.17446808510638,5.73191489361702
32,47,22.3171281434237,3.5531914893617,5.3936170212766
33,46,22.445488784275,3.9304347826087,5.96304347826087
34,47,22.8321840756886,4.10851063829787,5.48085106382979
36,48,22.1232934512634,3.52916666666667,5.5625
37,47,22.8488535254637,2.35744680851064,4.46170212765957
38,45,22.7398109688374,2.89555555555556,5.32888888888889
39,47,22.7414160401504,2.98085106382979,5.50212765957447
40,46,22.7343448940949,4.44782608695652,5.92391304347826
