metric,value
n_values,888000
median,22.1901312570733
p90,26.7688789940962
p95,29.5793585082461
p97,33.3667600565054
p98,35.7980077274316
p99,48.1744589864874
p995,209.259139825337
p999,464.190657936915
max,603.658426875907
