nRows,nSubjects,within_beta,within_SE,within_p,within_CI_lo,within_CI_hi,rating,feature,label
1681,46,0.137254576346213,0.0271844144095029,4.92405760659178e-07,0.083935643952556,0.19057350873987,valence,front_clip_motion,Front STb motion
1700,46,0.0503522951244153,0.0230125051870969,0.0288026063576266,0.00521642154240537,0.0954881687064252,valence,e4_bvp_std,E4 BVP variability
1700,46,0.0498105871475402,0.0200880950808949,0.0132491574048737,0.0104105430105356,0.0892106312845448,valence,e4_hr_mean,E4 HR mean
1700,46,0.0491944895940259,0.0175713665114269,0.00517298475007167,0.0147306634666725,0.0836583157213793,valence,bh3_br_mean,BH3 breathing rate
1700,46,0.0237838386204007,0.00655698106499819,0.000294921681124794,0.0109232193169738,0.0366444579238277,valence,bh3_hr_mean,BH3 HR mean
1700,46,0.046627338069012,0.0232028988203118,0.0446371070277628,0.00111803348113201,0.092136642656892,valence,e4_eda_std,E4 EDA variability
1638,46,-0.032523191490291,0.0126847202617148,0.0104370501460103,-0.0574032044041238,-0.00764317857645828,valence,e4_ibi_mean,E4 IBI mean
1681,46,0.110321947156448,0.0321368049689786,0.00061170652049615,0.0472895012233797,0.173354393089516,arousal,front_clip_motion,Front STb motion
1700,46,-0.00809027818269832,0.0233505370553112,0.72903191291414,-0.053889154925223,0.0377085985598264,arousal,e4_bvp_std,E4 BVP variability
1700,46,-0.00409052902919391,0.0220767495830024,0.853026277326151,-0.0473910462992041,0.0392099882408163,arousal,e4_hr_mean,E4 HR mean
1700,46,0.0637014145132246,0.0157292749942377,5.35574635082387e-05,0.0328505983198336,0.0945522307066155,arousal,bh3_br_mean,BH3 breathing rate
1700,46,0.00837273458005249,0.00555285919112099,0.13178570105121,-0.00251843734718595,0.0192639065072909,arousal,bh3_hr_mean,BH3 HR mean
1700,46,0.0447572866171422,0.0230426489999061,0.0522579069808465,-0.000437709920546432,0.0899522831548309,arousal,e4_eda_std,E4 EDA variability
1638,46,-0.0479307990048766,0.0170111545503723,0.00489644681412365,-0.0812967492316143,-0.014564848778139,arousal,e4_ibi_mean,E4 IBI mean
1681,46,0.12371020128883,0.0264069405792758,3.02882699819662e-06,0.0719161895341556,0.175504213043504,liking,front_clip_motion,Front STb motion
1700,46,0.0490304322778171,0.0189642857102906,0.00980907740704475,0.0118345861309694,0.0862262784246648,liking,e4_bvp_std,E4 BVP variability
1700,46,0.0160667664434217,0.0196894634058643,0.41460988459399,-0.0225514163210953,0.0546849492079386,liking,e4_hr_mean,E4 HR mean
1700,46,0.0646975728443123,0.0174900413597952,0.000223249990003428,0.0303932548510469,0.0990018908375776,liking,bh3_br_mean,BH3 breathing rate
1700,46,0.0136713833863687,0.00560198360083996,0.0147705007684629,0.00268386066512325,0.0246589061076141,liking,bh3_hr_mean,BH3 HR mean
1700,46,0.0382734429620042,0.0232116393813088,0.099355237786353,-0.00725300503781593,0.0837998909618243,liking,e4_eda_std,E4 EDA variability
1638,46,-0.0204401590240398,0.0128824263281593,0.112780774207854,-0.0457079557742358,0.00482763772615618,liking,e4_ibi_mean,E4 IBI mean
1681,46,0.104756682777924,0.0244308138682853,1.90641471479751e-05,0.0568386039353,0.152674761620548,familiarity,front_clip_motion,Front STb motion
1700,46,0.00946900928751974,0.0216463593904671,0.661847078462611,-0.0329873566324626,0.0519253752075021,familiarity,e4_bvp_std,E4 BVP variability
1700,46,0.00254447072694997,0.0221523340476547,0.908567759820804,-0.040904295106768,0.045993236560668,familiarity,e4_hr_mean,E4 HR mean
1700,46,0.0667285998164168,0.0174327621381614,0.000134002595934944,0.0325366271625883,0.100920572470245,familiarity,bh3_br_mean,BH3 breathing rate
1700,46,0.00272442517210291,0.00581031208068917,0.639205055785791,-0.00867170529756263,0.0141205556417684,familiarity,bh3_hr_mean,BH3 HR mean
1700,46,0.0571554721937149,0.0267091139496278,0.0325031531716749,0.0047692073817534,0.109541737005676,familiarity,e4_eda_std,E4 EDA variability
1638,46,-0.0213961716109325,0.0104894682132551,0.0415330270521764,-0.0419703820957086,-0.000821961126156439,familiarity,e4_ibi_mean,E4 IBI mean
