metric,nRows,nSubjects,modelSpec,linear_AIC,linear_BIC,within_beta,within_SE,within_t,within_p,within_CI_lo,within_CI_hi,between_beta,between_p,quadModelSpec,quad_AIC,quad_BIC,quad_beta,quad_p,deltaAIC_quad_minus_linear,compare_p
clipDynamicMedian,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),3391.06397824776,3429.04148345695,0.137254576346929,0.0271844144108288,5.04901721525603,4.92405761217495e-07,0.0839356439506712,0.190573508743186,0.323088397292559,0.000849858510462127,outcomeZ ~ 1 + valenceWSZ + valenceWSZ2 + valenceBSZ + (1 + valenceWSZ | participantID),3390.45679493248,3433.85488902707,0.0450006091031955,0.00240156669720708,-0.607183315275051,0.10638056015921
e4_hr_mean,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),4187.38569263183,4225.36319784102,0.0491085097651923,0.0204902546267266,2.39667640348097,0.0166533706614921,0.0089193600298447,0.08929765950054,-0.000793428212561988,0.992908140246076,,NaN,NaN,NaN,NaN,NaN,NaN
bh3_br_mean,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),3500.99933745151,3538.9768426607,0.0466882734900912,0.0177416653259228,2.63156094044192,0.00857723472182739,0.0118901483653843,0.0814863986147981,-0.128370330220007,0.243972067721729,,NaN,NaN,NaN,NaN,NaN,NaN
e4_eda_std,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),3329.36108289908,3367.33858810827,0.0461291391390898,0.0231962446284289,1.98864686409431,0.0469023849908536,0.000632518152559207,0.0916257601256203,0.0340165619442536,0.717780344250457,,NaN,NaN,NaN,NaN,NaN,NaN
bh3_hr_mean,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),-380.725889364112,-342.748384154922,0.0233615476788004,0.00663528367021145,3.520806168948,0.000441734601843621,0.0103472433757779,0.0363758519818229,0.19551908300976,0.164905525015502,,NaN,NaN,NaN,NaN,NaN,NaN
e4_eda_mean,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),910.94426867925,948.92177388844,0.0167020718646752,0.0101314372169333,1.64853924542512,0.0994292612863044,-0.00316951366528239,0.0365736573946329,0.0181894950202033,0.885474947691289,,NaN,NaN,NaN,NaN,NaN,NaN
e4_skt_mean,1681,46,outcomeZ ~ 1 + valenceWSZ + valenceBSZ + (1 + valenceWSZ | participantID),1568.23379984823,1606.21130505742,-0.00931432268925238,0.010929168638998,-0.852244392681115,0.394200080300519,-0.0307505616680809,0.0121219162895761,-0.224871987893845,0.106790234903507,,NaN,NaN,NaN,NaN,NaN,NaN
