phase,nFrames,mean,std,median,p75,p90,p95,p97,p99,max
baseline,46056,20.5616988812855,24.1781370469237,12.8262643363404,21.3278962907745,40.7628913699504,58.9692713293578,74.910313535533,124.929841452622,491.193133417433
video,554029,10.8415353050098,8.47122559700349,8.73982474711839,11.2230333339317,16.1332520849237,22.7247257223986,28.9645307175735,46.0295847373895,365.562027576914
post,28062,15.7321222485709,13.7891174973643,10.2641102621363,18.4396581677528,32.4689661574069,42.5349561357786,51.0757244219197,70.0454762158382,211.703980890378
walking,226001,202.905131504469,82.2845222676417,212.028158724651,255.878903608375,295.15779545711,321.34156955772,340.444423336895,387.965149807434,819.341765582254
