participantID,seq,exp,clipDurationSec,front_clip_motion_median,front_clip_motion_n,front_clip_motion_frac,e4_eda_mean,e4_eda_std,e4_eda_n,e4_hr_mean,e4_hr_std,e4_hr_n,e4_skt_mean,e4_skt_std,e4_skt_n,e4_bvp_std,e4_bvp_n,e4_ibi_mean,e4_ibi_sdnn,e4_ibi_rmssd,e4_ibi_n,bh3_rr_mean,bh3_rr_sdnn,bh3_rr_rmssd,bh3_rr_n,bh3_hr_mean,bh3_hr_std,bh3_hr_n,bh3_br_mean,bh3_br_std,bh3_br_n,bh3_bb_mean,bh3_bb_std,bh3_bb_n,bh3_rsp_std,bh3_rsp_n,bh3_hr_conf_mean,bh3_hr_conf_std,bh3_hr_conf_n,valence
02-9TZO,1,15,64.819000005722,12.2463352588735,5849,1,1.76014321538462,0.0708630894521978,260,69.7618461538462,1.4871017243153,65,32.1697307692308,0.0126248443311879,260,45.0761867765049,4154,0.840144230769231,0.0331190607202679,0.0317345250181092,65,831.192307692308,39.022823056267,28.2934529621162,78,72.0769230769231,2.964939355976,65,4.84615384615385,0.922475765785497,65,42480,NaN,1,1085.90142459433,1621,100,0,65,6.9
02-9TZO,2,19,64.8389999866486,12.5767140928677,5867,1,1.64064234615385,0.0467522208696298,260,71.6886153846154,0.617681848029077,65,32.1827692307692,0.0193331046076147,260,59.6005652289832,4155,0.844916044776119,0.0534604931839172,0.0494105884401309,67,846.948051948052,44.6812971893563,32.579053651727,77,71.1538461538462,3.39222810825887,65,7.07692307692308,4.38501600733856,65,3395.78947368421,488.78893183361,19,1768.04957308342,1621,100,0,65,7.6
02-9TZO,3,33,60.7490000724792,12.0897318482097,5487,1,1.46215209016393,0.0430177652972442,244,78.1936065573771,2.97082538070196,61,32.156762295082,0.0108756936517351,244,47.844977374754,3893,0.843532986111111,0.0674479095858934,0.0358133764302953,72,853.197183098591,58.5356105822552,33.7541531836137,71,70.9180327868852,5.22906964946032,61,17.6885245901639,0.719744945717055,61,3317.77777777778,505.680154149492,18,1334.61963580912,1519,100,0,61,3.4
02-9TZO,4,40,67.1679999828339,11.0310397689356,6130,1,1.29109653903346,0.0415877149497534,269,77.3717910447761,3.52742928343228,67,32.107843866171,0.0219862102626476,269,51.9364597571334,4305,0.869951923076923,0.0488755779033314,0.0436295076243919,65,870.922077922078,46.5947721920113,38.4428831275425,77,69.2941176470588,3.64490576226647,68,18.9264705882353,2.07555909727625,68,3125.71428571429,959.023312691466,21,1462.88338852178,1679,100,0,68,3.2
02-9TZO,5,28,64.6610000133514,11.2412929268241,5831,1,1.17070349034749,0.0288472396687567,259,70.56484375,1.0300778090313,64,32.0604247104247,0.0176368713775853,259,32.2945911606101,4144,0.891725352112676,0.0468246711705634,0.0483041078000323,71,891.315068493151,39.630192163274,34.8875176659058,73,67.9230769230769,3.65849906172127,65,21,2.30488611432322,65,3215.2380952381,1001.39711926697,21,1911.2759564513,1616,100,0,65,3.8
02-9TZO,6,24,56.3789999485016,11.9215025152966,5095,1,1.08755098672566,0.0181963758712748,226,84.7843859649123,5.64490731846726,57,32.0563716814159,0.0147911052492242,226,28.5588752136666,3613,0.841184701492537,0.0379429543293992,0.0341352694338009,67,846,35.5263453245787,31.7060361330887,67,71.25,2.41397446698857,56,20.6071428571429,2.14627433160198,56,3757.33333333333,880.579895512583,15,1481.74526195632,1409,100,0,56,2.4
02-9TZO,7,21,67.3949999809265,11.537422640324,6032,1,1.03699601481482,0.014607931971723,270,75.1322058823529,4.82185628638308,68,31.9794074074074,0.0310477019476073,270,49.9661384404858,4319,0.870645491803279,0.0307421160313898,0.0365883099785073,61,862.205128205128,35.4662301330925,31.0719734240929,78,69.7794117647059,2.56756803589778,68,20.5441176470588,2.4943747072127,68,3306.66666666667,967.746523286616,21,1993.40921626927,1685,100,0,68,3.5
02-9TZO,8,14,64.2480001449585,10.5868223788259,5821,1,0.989342085603113,0.0206011034896833,257,71.3703125,1.41267051927608,64,31.8267315175097,0.0153671822995895,257,46.0760237347179,4117,0.883254716981132,0.0481208412430372,0.0492678517285086,53,882.671232876712,41.8874334093839,32.7782956644586,73,68.328125,3.05013498270133,64,17.203125,0.405505269767883,64,3294.73684210526,625.844925956126,19,2266.56219309278,1607,99.9375,0.243975018237133,64,6.2
02-9TZO,9,39,64.8789999485016,11.2339672310033,5898,1,0.957042207692307,0.0148622636553305,260,77.8738461538462,3.14107500124743,65,31.8623076923077,0.0130065894519419,260,21.0983095993273,4158,0.863839285714286,0.0799892773452003,0.0365901036550031,63,877.175675675676,55.6452457342483,31.1065336923959,74,69.2769230769231,5.64443224643678,65,21.7230769230769,2.98175541998592,65,2912.72727272727,1014.60844813667,22,1312.98930364862,1622,100,0,65,2
02-9TZO,10,11,64.6229999065399,10.9268458210025,5863,1,0.901113355212354,0.0246180593520475,259,73.2790625,1.3304143270974,64,31.8742471042471,0.0177545916463276,259,26.0374319993269,4141,0.865119485294118,0.044103748073538,0.0372112640425153,68,861.84,47.6328980114896,34.2295510073118,75,69.9538461538462,3.61174632808861,65,20.7076923076923,2.714101352906,65,2721.73913043478,946.839970033878,23,2215.40813899662,1615,99.2769230769231,1.46316963630858,65,6.7
