medianA,medianB,deltaMedian_AminusB,pairLabel,deltaMedian_sorted,subjectID,markerGroup,emotionA,emotionB,ksD,nSamplesA,nSamplesB,nVideosA,nVideosB
19.4387319937417,12.2708164648262,7.16791552891557,FEAR-NEUTRAL,7.16791552891557,SC3001,Waist,NEUTRAL,FEAR,0.404351836075828,881,5676,1,1
19.4387319937417,14.2147730064397,5.22395898730205,JOY-NEUTRAL,5.22395898730205,SC3001,Waist,NEUTRAL,JOY,0.327762123819573,881,2728,1,1
19.4387319937417,16.3014660798916,3.13726591385015,NEUTRAL-SAD,-3.13726591385015,SC3001,Waist,NEUTRAL,SAD,0.193868556411122,881,555,1,1
18.0606468553436,12.2708164648262,5.78983039051741,DISGUST-FEAR,-5.78983039051741,SC3001,Waist,DISGUST,FEAR,0.32976995071028,1382,5676,1,1
18.0606468553436,14.2147730064397,3.84587384890389,DISGUST-JOY,-3.84587384890389,SC3001,Waist,DISGUST,JOY,0.249839261387508,1382,2728,1,1
18.0606468553436,16.3014660798916,1.75918077545199,DISGUST-SAD,-1.75918077545199,SC3001,Waist,DISGUST,SAD,0.136556237858698,1382,555,1,1
12.2708164648262,14.2147730064397,-1.94395654161352,FEAR-JOY,1.94395654161352,SC3001,Waist,FEAR,JOY,0.12384061924572,5676,2728,1,1
12.2708164648262,16.3014660798916,-4.03064961506542,FEAR-SAD,4.03064961506542,SC3001,Waist,FEAR,SAD,0.225762337390244,5676,555,1,1
14.2147730064397,16.3014660798916,-2.0866930734519,JOY-SAD,2.0866930734519,SC3001,Waist,JOY,SAD,0.175343451956355,2728,555,1,1
17.8633081204754,19.6854159008562,-1.82210778038082,DISGUST-NEUTRAL,-1.82210778038082,SK0702,head,NEUTRAL,DISGUST,0.148243385725535,1334,1348,1,1
17.8633081204754,15.7601576816924,2.10315043878297,FEAR-NEUTRAL,2.10315043878297,SK0702,head,NEUTRAL,FEAR,0.127123984894275,1334,3999,1,1
17.8633081204754,16.9011899785185,0.962118141956903,JOY-NEUTRAL,0.962118141956903,SK0702,head,NEUTRAL,JOY,0.0694910353449948,1334,2017,1,1
17.8633081204754,18.1476573992103,-0.284349278734922,NEUTRAL-SAD,0.284349278734922,SK0702,head,NEUTRAL,SAD,0.0453436585616397,1334,2379,1,1
19.6854159008562,15.7601576816924,3.92525821916379,DISGUST-FEAR,-3.92525821916379,SK0702,head,DISGUST,FEAR,0.265705150323189,1348,3999,1,1
19.6854159008562,16.9011899785185,2.78422592233773,DISGUST-JOY,-2.78422592233773,SK0702,head,DISGUST,JOY,0.205744863026294,1348,2017,1,1
19.6854159008562,18.1476573992103,1.5377585016459,DISGUST-SAD,-1.5377585016459,SK0702,head,DISGUST,SAD,0.130776777016501,1348,2379,1,1
15.7601576816924,16.9011899785185,-1.14103229682607,FEAR-JOY,1.14103229682607,SK0702,head,FEAR,JOY,0.100610179813173,3999,2017,1,1
15.7601576816924,18.1476573992103,-2.38749971751789,FEAR-SAD,2.38749971751789,SK0702,head,FEAR,SAD,0.158282004296787,3999,2379,1,1
16.9011899785185,18.1476573992103,-1.24646742069183,JOY-SAD,1.24646742069183,SK0702,head,JOY,SAD,0.0846034849220883,2017,2379,1,1
15.607230038606,18.3428698281098,-2.73563978950377,DISGUST-NEUTRAL,-2.73563978950377,SK0702,uppertorso,NEUTRAL,DISGUST,0.171768815979342,5852,5400,1,1
15.607230038606,14.6819146658537,0.925315372752268,FEAR-NEUTRAL,0.925315372752268,SK0702,uppertorso,NEUTRAL,FEAR,0.0944427724671244,5852,11792,1,1
15.607230038606,15.2374663289378,0.369763709668211,JOY-NEUTRAL,0.369763709668211,SK0702,uppertorso,NEUTRAL,JOY,0.0538102248628565,5852,8151,1,1
15.607230038606,15.8834734128699,-0.276243374263892,NEUTRAL-SAD,0.276243374263892,SK0702,uppertorso,NEUTRAL,SAD,0.0386787660643955,5852,9726,1,1
18.3428698281098,14.6819146658537,3.66095516225604,DISGUST-FEAR,-3.66095516225604,SK0702,uppertorso,DISGUST,FEAR,0.207556661138751,5400,11792,1,1
18.3428698281098,15.2374663289378,3.10540349917198,DISGUST-JOY,-3.10540349917198,SK0702,uppertorso,DISGUST,JOY,0.183225371120108,5400,8151,1,1
18.3428698281098,15.8834734128699,2.45939641523988,DISGUST-SAD,-2.45939641523988,SK0702,uppertorso,DISGUST,SAD,0.166125962483149,5400,9726,1,1
14.6819146658537,15.2374663289378,-0.555551663084056,FEAR-JOY,0.555551663084056,SK0702,uppertorso,FEAR,JOY,0.0749188131847205,11792,8151,1,1
14.6819146658537,15.8834734128699,-1.20155874701616,FEAR-SAD,1.20155874701616,SK0702,uppertorso,FEAR,SAD,0.109798139999347,11792,9726,1,1
