motionMetric,ratingMetric,nRows,pearson_r,pearson_p,spearman_rho,spearman_p,withinSubject_r,withinSubject_p,meanClipSelectedFrac,meanPreSelectedFrac
clipMinusPre,valence,1776,0.0904274133339693,0.000135640961080139,0.066194949383276,0.00525900766313854,0.0757063907196915,0.00140899646394481,0.980684252023353,0.987079954954955
clipMinusPre,dominance,1776,-0.0336664449345683,0.156133804710073,0.00532843181110907,0.822447981190756,-0.0184625864426758,0.436816569545002,0.980684252023353,0.987079954954955
clipOverPre,valence,1776,0.0857641183459707,0.000296374992240781,0.0636601504788881,0.00728257705677882,0.07217484994963,0.00233870514889906,0.980684252023353,0.987079954954955
clipOverPre,dominance,1776,-0.0306793319763722,0.196252863736812,0.00574060174186781,0.808969519138842,-0.0140610204381058,0.553729898109068,0.980684252023353,0.987079954954955
logClipOverPre,valence,1776,0.0848747164980804,0.000342561029862742,0.0636601504788881,0.00728257705677882,0.0712822544657613,0.00264944481450242,0.980684252023353,0.987079954954955
logClipOverPre,dominance,1776,-0.0320378607300468,0.177158745792612,0.00574060174186781,0.808969519138842,-0.0163241994776399,0.491763978266021,0.980684252023353,0.987079954954955
