motionMetric,ratingMetric,nClips,pearson_r,pearson_p,spearman_rho,spearman_p
mean_clipMinusPre,mean_valence,38,0.23045644672529,0.163924899190838,0.218951745267535,0.185985082636266
mean_clipMinusPre,mean_dominance,38,0.207113298248934,0.212154099771379,0.186781923624029,0.260461640603924
mean_clipOverPre,mean_valence,38,0.217539989794924,0.189524506811799,0.224203961046066,0.175448248993792
mean_clipOverPre,mean_dominance,38,0.195558259004595,0.239341282342387,0.205383521172995,0.215282229428504
mean_logClipOverPre,mean_valence,38,0.193036018637184,0.245575003021633,0.190939927782033,0.249850648731538
mean_logClipOverPre,mean_dominance,38,0.198049363248764,0.233290283629895,0.208447313710472,0.208401246174719
