participantID,seq,exp,baselineDynamicMedian,clipDynamicMedian,preDynamicMedian,walkDynamicMedian,walkRawMedian,clipMinusBaseline,clipOverBaseline,logClipOverBaseline,clipMinusPre,clipOverPre,logClipOverPre,baselineSelectedFrac,clipSelectedFrac,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
02-9TZO,1,15,11.1933421769778,12.2463352588735,10.3109728743781,247.82042415076,1002.59513264328,1.0529930818957,1.09407316110299,0.0899075766293854,1.93536238449533,1.18769929938469,0.172018073905395,1,1,1,0.848421052631579,6.9,6.3,3,6.6,1
02-9TZO,2,19,16.6380959710037,12.5767140928677,10.5941188182573,234.048885509162,990.96215871243,-4.06138187813598,0.75589863856934,-0.279847987758072,1.98259527461041,1.18714112127889,0.171547997591022,1,1,1,0.885086607520068,7.6,5.9,6.4,7.6,4
02-9TZO,3,33,15.2675797001028,12.0897318482097,9.74534335832849,241.111417480256,982.814322981093,-3.17784785189305,0.791856475334354,-0.233375121601858,2.34438848988122,1.24056499639673,0.215566918098964,1,1,1,0.916273078574495,3.4,6,6,2.1,3
02-9TZO,4,40,15.1083962207653,11.0310397689356,10.6376727390934,238.188910128718,986.152617407803,-4.07735645182976,0.730126454704322,-0.314537534219167,0.393367029842196,1.03697867376542,0.036311363718097,1,1,1,0.91039729501268,3.2,5.4,5.8,2.2,2
02-9TZO,5,28,18.8323008566546,11.2412929268241,10.1151448523299,233.344978521643,982.559666094784,-7.5910079298305,0.596915534240304,-0.515979659283878,1.12614807449421,1.11133286679872,0.105560075863213,1,1,1,0.921718185467684,3.8,5.7,3.6,3.9,1
02-9TZO,6,24,16.0186862469192,11.9215025152966,10.5446134630427,229.105903471347,986.724630321776,-4.09718373162268,0.744224734259299,-0.295412227584162,1.37688905225385,1.13057747987441,0.122728546322309,1,1,1,0.864217252396166,2.4,6.3,3.6,2.6,4
02-9TZO,7,21,12.5346388746215,11.537422640324,10.0641377517832,239.570908152158,985.264426335083,-0.997216234297449,0.920443162003136,-0.0829000270887114,1.47328488854077,1.14638957900588,0.136617507300247,1,1,1,0.88358700123406,3.5,4.2,3,2,1
02-9TZO,8,14,15.2361875080446,10.5868223788259,9.50491625301911,215.601641173642,981.79682215823,-4.64936512921871,0.694847209857198,-0.364063299518214,1.08190612580676,1.11382595038258,0.107800890862854,1,1,1,0.933815138836059,6.2,5.7,3.6,6.7,4
02-9TZO,9,39,15.4580566222487,11.2339672310033,11.1903291614614,227.171595560701,980.55009931579,-4.22408939124536,0.726738651923059,-0.319188354494017,0.0436380695419523,1.00389962340806,0.00389203958633826,1,1,1,0.918234165067178,2,6.4,6.1,1.1,1
02-9TZO,10,11,17.6472162120788,10.9268458210025,10.6727728734421,243.798237585743,983.630768943639,-6.72037039107627,0.619182407564289,-0.479355368666616,0.254072947560426,1.02380571109057,0.0235267733521878,1,1,1,0.939342881213142,6.7,4.6,4.3,6,1
02-9TZO,11,5,14.3749220463411,12.42419438276,10.3785423549813,257.069634209289,991.091550756063,-1.95072766358108,0.864296470110069,-0.145839432334547,2.0456520277787,1.19710398221739,0.17990529182332,1,0.992320819112628,1,0.925910064239829,6.8,6.1,6.2,7.9,5
02-9TZO,12,6,15.0267102255291,11.7050019524591,9.90031100791754,248.573741675393,979.13992871295,-3.32170827307,0.778946407881965,-0.249813031521635,1.80469094454153,1.18228628808714,0.167450096160148,1,1,1,0.866918555835432,6.9,5.7,5.6,8,1
02-9TZO,13,18,14.5799605879664,11.7999529165786,9.02258669712132,229.143012142914,985.784458819383,-2.7800076713877,0.809326804786962,-0.211552482076339,2.77736621945732,1.30782372203123,0.268364474863562,1,0.993098688750863,1,0.895910780669145,7.5,6.2,6.1,7.6,4
02-9TZO,14,25,12.8900164954326,10.8062365083662,9.33689135197171,221.723196716296,982.978636593372,-2.08377998706638,0.838341557762573,-0.176329674712156,1.46934515639454,1.15736984623734,0.146150056800538,1,1,1,0.88391502276176,7.2,6.1,2.7,7.3,1
02-9TZO,15,38,15.4479817307425,11.0483784632256,10.7652405000068,233.289530520564,978.830424537366,-4.39960326751697,0.715198830228971,-0.335194690710061,0.283137963218765,1.02630112752414,0.0259612002990991,1,1,1,0.951349141455437,2.1,5.6,6.3,1.2,1
02-9TZO,16,4,12.3357082070588,10.5934751673395,9.36482781475453,235.479373506908,987.125878496181,-1.74223303971924,0.858765057467694,-0.152259901430223,1.228647352585,1.13119807185875,0.123277311649128,1,0.990766073871409,1,0.86741214057508,7.1,5.9,6.1,8.3,5
02-9TZO,17,29,15.9920431888354,11.2642726522327,9.47391303773022,246.806493947273,982.175646205912,-4.72777053660271,0.704367323125833,-0.350455293092801,1.79035961450252,1.1889778391856,0.173093979339491,1,1,1,0.914065666801784,3.3,5.7,5.5,3.4,4
02-9TZO,18,12,16.0920028759794,11.5897464261399,10.2587302237043,237.566355996346,986.836105841028,-4.50225644983955,0.720217769998035,-0.328201654372731,1.33101620243558,1.12974473189285,0.121991706225,0.975717439293598,1,1,0.94331983805668,7,6,1.9,7,1
02-9TZO,19,26,18.885353204443,11.7342630485655,9.45601192978105,234.253200839351,982.41105953472,-7.15109015587753,0.621341995647974,-0.475873631008371,2.27825111878443,1.2409314979404,0.21586230561788,1,0.993376297887576,1,0.878568709554625,3.6,6.1,1.1,2.8,1
02-9TZO,20,1,16.1533951238813,10.2943055750608,11.1863462951199,245.397292700219,982.789641075786,-5.85908954882058,0.637284329152672,-0.450539366399845,-0.892040720059168,0.920256293116161,-0.0831030682610202,1,1,1,0.965913757700205,6.6,6.1,5.9,6.3,5
02-9TZO,21,13,16.7362788666725,11.1186666061497,9.14805272650244,228.641870409596,985.412095012551,-5.61761226052281,0.664345204494093,-0.408953378313474,1.9706138796473,1.21541348072233,0.195084332250771,1,0.997386304234187,1,0.874824191279888,6.4,6.4,2.5,6.3,1
02-9TZO,22,17,11.4729809957697,12.6279911503322,9.57247738217872,226.542898708373,981.468531152944,1.15501015456253,1.10067219277957,0.0959210775133842,3.05551376815351,1.31919780493209,0.277023828323184,1,0.996972395369546,1,0.968253968253968,6.7,5.2,3.7,5.9,1
02-9TZO,23,34,14.4145335022887,10.7067900668386,9.61306980683648,232.885872971319,983.8399231678,-3.70774343545012,0.742777424266875,-0.297358842713334,1.09372026000212,1.11377429707462,0.107754515120144,1,0.986197609829995,1,0.960388035569927,2.8,6,5.8,1,2
02-9TZO,24,9,11.6872977754881,10.2141464571856,10.5102643432816,223.966208303847,980.277510555669,-1.47315131830249,0.873952786469414,-0.134728924843616,-0.296117886095974,0.97182583839718,-0.0285786691798262,1,1,1,0.903881030105187,6.2,5.5,4.9,7.1,4
02-9TZO,25,27,16.9403886518807,10.5054098590134,10.4953573171891,215.609379496411,985.571139855786,-6.43497879286729,0.6201398371015,-0.477810282662062,0.010052541824292,1.00095780844048,0.000957350034665613,1,1,1,0.934654919236417,6.3,5.8,2.8,6.4,1
02-9TZO,26,31,16.3204644711479,11.5277881221811,9.80501829872764,234.791508631067,983.181570209694,-4.79267634896686,0.706339463718108,-0.34765933025287,1.72276982345343,1.17570286673274,0.161866153208515,1,1,1,0.874508261211644,2.9,6,5.9,2.3,1
