normalization,markerGroup,pairLabel,deltaFull,deltaMicro,signFlip
baseline-normalized,UPPER_LIMB_R,NEUTRAL-DISGUST,-3.709571317289,0.204317935412894,1
baseline-normalized,UPPER_LIMB_R,NEUTRAL-JOY,-2.27991083699547,-0.0110319234216725,0
baseline-normalized,UPPER_LIMB_R,NEUTRAL-SAD,-3.23270383607608,0.110732163338808,1
baseline-normalized,UPPER_LIMB_R,DISGUST-JOY,1.42966048029353,-0.215349858834567,1
baseline-normalized,UPPER_LIMB_R,DISGUST-SAD,0.476867481212917,-0.0935857720740865,1
baseline-normalized,UPPER_LIMB_R,JOY-SAD,-0.952792999080613,0.12176408676048,1
baseline-normalized,LOWER_LIMB_L,NEUTRAL-DISGUST,-3.66232452578739,-0.115517267082857,0
baseline-normalized,LOWER_LIMB_L,NEUTRAL-JOY,-2.01493053189731,-0.083371414104211,0
baseline-normalized,LOWER_LIMB_L,NEUTRAL-SAD,-2.3729280804966,-0.356250146289034,0
baseline-normalized,LOWER_LIMB_L,DISGUST-JOY,1.64739399389007,0.0321458529786458,0
baseline-normalized,LOWER_LIMB_L,DISGUST-SAD,1.28939644529078,-0.240732879206177,1
baseline-normalized,LOWER_LIMB_L,JOY-SAD,-0.357997548599293,-0.272878732184823,0
baseline-normalized,LOWER_LIMB_R,NEUTRAL-DISGUST,-4.62309769567557,-0.524076956348717,0
baseline-normalized,LOWER_LIMB_R,NEUTRAL-JOY,-2.22975398301606,-0.19809078213417,0
baseline-normalized,LOWER_LIMB_R,NEUTRAL-SAD,-3.19186802712729,-0.61242052451057,0
baseline-normalized,LOWER_LIMB_R,DISGUST-JOY,2.39334371265952,0.325986174214547,0
baseline-normalized,LOWER_LIMB_R,DISGUST-SAD,1.43122966854829,-0.0883435681618536,1
baseline-normalized,LOWER_LIMB_R,JOY-SAD,-0.96211404411123,-0.414329742376401,0
baseline-normalized,WRIST_L,NEUTRAL-DISGUST,-3.71587625731511,0.322179476643521,1
baseline-normalized,WRIST_L,NEUTRAL-JOY,-2.33273394652971,0.121633792080269,1
baseline-normalized,WRIST_L,NEUTRAL-SAD,-3.28467659889303,0.0156140477598927,1
baseline-normalized,WRIST_L,DISGUST-JOY,1.38314231078541,-0.200545684563252,1
baseline-normalized,WRIST_L,DISGUST-SAD,0.43119965842209,-0.306565428883629,1
baseline-normalized,WRIST_L,JOY-SAD,-0.95194265236332,-0.106019744320377,0
baseline-normalized,WRIST_R,NEUTRAL-DISGUST,-4.18801984959544,0.21112630286423,1
baseline-normalized,WRIST_R,NEUTRAL-JOY,-2.42974060791771,-0.0572325480534732,0
baseline-normalized,WRIST_R,NEUTRAL-SAD,-3.81029685224615,0.107010543024103,1
baseline-normalized,WRIST_R,DISGUST-JOY,1.75827924167773,-0.268358850917703,1
baseline-normalized,WRIST_R,DISGUST-SAD,0.377722997349295,-0.104115759840127,1
baseline-normalized,WRIST_R,JOY-SAD,-1.38055624432844,0.164243091077577,1
baseline-normalized,LTORSO,NEUTRAL-DISGUST,-3.63160001993618,0.327717548457446,1
baseline-normalized,LTORSO,NEUTRAL-JOY,-2.34732794654032,0.136321031684678,1
baseline-normalized,LTORSO,NEUTRAL-SAD,-2.69928172170383,0.135942880065488,1
baseline-normalized,LTORSO,DISGUST-JOY,1.28427207339586,-0.191396516772768,1
baseline-normalized,LTORSO,DISGUST-SAD,0.932318298232349,-0.191774668391958,1
baseline-normalized,LTORSO,JOY-SAD,-0.351953775163512,-0.000378151619190081,0
