normalization,markerGroup,emotion,regime,nSamples,medianValue
baseline-normalized,UPPER_LIMB_R,NEUTRAL,micro,102408,2.7535317716618
baseline-normalized,UPPER_LIMB_R,DISGUST,full,399937,8.75473250920141
baseline-normalized,UPPER_LIMB_R,DISGUST,micro,128093,2.95784970707469
baseline-normalized,UPPER_LIMB_R,JOY,full,399455,10.1843929894949
baseline-normalized,UPPER_LIMB_R,JOY,micro,113357,2.74249984824012
baseline-normalized,UPPER_LIMB_R,SAD,full,399492,9.23159999041433
baseline-normalized,UPPER_LIMB_R,SAD,micro,127797,2.8642639350006
baseline-normalized,LOWER_LIMB_L,NEUTRAL,full,958040,12.3301567390711
baseline-normalized,LOWER_LIMB_L,NEUTRAL,micro,566396,4.4788157970147
baseline-normalized,LOWER_LIMB_L,DISGUST,full,959257,8.66783221328371
baseline-normalized,LOWER_LIMB_L,DISGUST,micro,665826,4.36329852993185
baseline-normalized,LOWER_LIMB_L,JOY,full,958220,10.3152262071738
baseline-normalized,LOWER_LIMB_L,JOY,micro,620316,4.39544438291049
baseline-normalized,LOWER_LIMB_L,SAD,full,958281,9.95722865857449
baseline-normalized,LOWER_LIMB_L,SAD,micro,618315,4.12256565072567
baseline-normalized,LOWER_LIMB_R,NEUTRAL,full,955709,14.9828867739798
baseline-normalized,LOWER_LIMB_R,NEUTRAL,micro,638038,6.29410073016702
baseline-normalized,LOWER_LIMB_R,DISGUST,full,955157,10.3597890783042
baseline-normalized,LOWER_LIMB_R,DISGUST,micro,736692,5.7700237738183
baseline-normalized,LOWER_LIMB_R,JOY,full,954658,12.7531327909637
baseline-normalized,LOWER_LIMB_R,JOY,micro,686067,6.09600994803285
baseline-normalized,LOWER_LIMB_R,SAD,full,955218,11.7910187468525
baseline-normalized,LOWER_LIMB_R,SAD,micro,689146,5.68168020565644
baseline-normalized,WRIST_L,NEUTRAL,full,79893,14.2986261049124
baseline-normalized,WRIST_L,NEUTRAL,micro,17795,2.76175059922843
baseline-normalized,WRIST_L,DISGUST,full,79982,10.5827498475973
